"Alliance","Conservative","Democratic.Unionist","Green","National.Democratic.Resistance","Natural.Law","Progressive.Unionist","Sinn.Fein","Social.Democratic.and.Labour","Ulster.Unionist","United.Kingdom.Unionist","Constituency","CV","FPTP","British.National","Labour","Liberal","Liberal.Democrat","People.s.Labour","Plaid.Cymru","Referendum","Scottish.National","Scottish.Socialist.Alliance","Socialist","Socialist.Labour","The.Speaker","United.Kingdom.Independence","Ind127","Ind138"
0,0,0,0,0,0,0,0,0,0,0,"Ludlow","Liberal.Democrat","Conservative",0,0,0,46284.9999999999,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Luton North","Labour","Labour",0,47332.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Luton South","Labour","Labour",0,48184.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54197,0,0,0,0,0,0,0,0,0,"Macclesfield","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50723,0,0,0,0,0,0,0,0,0,"Maidenhead","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53608,0,0,0,0,0,0,0,0,0,"Maidstone and the Weald","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Makerfield","Labour","Labour",0,45014,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50386.9999999999,0,0,0,0,0,0,0,0,0,"Maldon and Chelmsford East","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Manchester Blackley","Labour","Labour",0,35756,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Manchester Central","Labour","Labour",0,33440,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Manchester Gorton","Labour","Labour",0,36311,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Manchester Withington","Labour","Labour",0,43845.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Mansfield","Labour","Labour",0,47425.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44742,0,0,0,0,0,0,0,0,0,"Medway","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Meirionnydd Nant Conwy","Referendum","Plaid.Cymru",0,0,0,0,0,4672.0000000001,19902.9999999999,0,0,0,0,0,0,0,0
0,54718.0000000001,0,0,0,0,0,0,0,0,0,"Meriden","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Merthyr Tydfil and Rhymney","Labour","Labour",0,38449.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Middlesbrough","Labour","Labour",0,46096.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Middlesbrough South and East Cleveland","Labour","Labour",0,53587.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Midlothian","Referendum","Labour",0,0,0,0,0,0,35248.9999999999,0,0,0,0,0,0,0,0
0,51235.9999999998,0,0,0,0,0,0,0,0,0,"Milton Keynes North East","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Milton Keynes South West","Labour","Labour",0,50757.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Mitcham and Morden","Labour","Labour",0,47721.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53248.0000000002,0,0,0,0,0,0,0,0,0,"Mole Valley","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,49025,0,0,0,0,0,0,0,0,0,"Monmouth","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Montgomeryshire","Liberal.Democrat","Liberal.Democrat",0,0,0,31925,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Moray","Scottish.National","Scottish.National",0,0,0,0,0,0,0,39766,0,0,0,0,0,0,0
0,49249,0,0,0,0,0,0,0,0,0,"Morecambe and Lunesdale","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Morley and Rothwell","Labour","Labour",0,45896.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Motherwell and Wishaw","Labour","Labour",0,36619,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Neath","Labour","Labour",0,40823,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"New Forest East","Liberal.Democrat","Conservative",0,0,0,49052.0000000001,0,0,0,0,0,0,0,0,0,0,0
0,49749.9999999999,0,0,0,0,0,0,0,0,0,"New Forest West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
