"Alliance","Conservative","Democratic.Unionist","Green","National.Democratic.Resistance","Natural.Law","Progressive.Unionist","Sinn.Fein","Social.Democratic.and.Labour","Ulster.Unionist","United.Kingdom.Unionist","Constituency","CV","FPTP","British.National","Labour","Liberal","Liberal.Democrat","People.s.Labour","Plaid.Cymru","Referendum","Scottish.National","Scottish.Socialist.Alliance","Socialist","Socialist.Labour","The.Speaker","United.Kingdom.Independence","Ind127","Ind138"
0,99.9999999999959,0,0,0,0,0,0,0,0,0,"Cities of London and Westminster","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cleethorpes","Labour","Labour",0,100.000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Clwyd South","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Clwyd West","Referendum","Labour",0,0,0,0,0,0,100.000000000008,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Clydebank and Milngavie","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Clydesdale","Labour","Labour",0,99.9999999999931,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Coatbridge and Chryston","Labour","Labour",0,99.999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Colchester","Liberal.Democrat","Liberal.Democrat",0,0,0,100.000000000009,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Colne Valley","Liberal.Democrat","Labour",0,0,0,100.000000000007,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Congleton","Liberal.Democrat","Conservative",0,0,0,100.000000000006,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Conwy","Liberal.Democrat","Labour",0,0,0,100.000000000006,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Copeland","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Corby","Labour","Labour",0,100.000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cornwall South East","Liberal.Democrat","Liberal.Democrat",0,0,0,100.000000000006,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999959,0,0,0,0,0,0,0,0,0,"Cotswold","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Coventry North East","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Coventry North West","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Coventry South","Labour","Labour",0,73.4559199600093,0,0,0,0,0,0,0,26.5440800399929,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Crawley","Labour","Labour",0,100.000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Crewe and Nantwich","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Crosby","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Croydon Central","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Croydon North","Labour","Labour",0,99.9999999999931,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999961,0,0,0,0,0,0,0,0,0,"Croydon South","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cumbernauld and Kilsyth","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cunninghame North","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cunninghame South","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cynon Valley","Labour","Labour",0,99.9999999999929,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Dagenham","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Darlington","Labour","Labour",0,99.9999999999928,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999961,0,0,0,0,0,0,0,0,0,"Dartford","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Daventry","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Delyn","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Denton and Reddish","Labour","Labour",0,100.000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Derby North","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Derby South","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Derbyshire North East","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Derbyshire South","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Derbyshire West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000006,0,0,0,0,0,0,0,0,0,"Devizes","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
