"Alliance","Conservative","Democratic.Unionist","Sinn.Fein","Social.Democratic.and.Labour","Ulster.Unionist","United.Kingdom.Unionist","Ind36","Constituency","CV","FPTP","British.National","Green","Kidderminster.Hospital.and.Health.Concern","Labour","Legalise.Cannabis.Alliance","Liberal","Liberal.Democrat","Monster.Raving.Loony","People.s.Justice","Plaid.Cymru","ProLife.Alliance","Scottish.National","Scottish.Socialist","Socialist.Alliance","Socialist.Labour","The.Speaker","United.Kingdom.Independence","Ind10"
0,0,0,0,0,0,0,0,"Norwich South","Liberal.Democrat","Labour",0,0,0,0,0,0,99.9999999999998,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Nottingham East","Labour","Labour",0,0,0,99.9999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Nottingham North","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Nottingham South","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Nuneaton","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ochil","Scottish.National","Labour",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ogmore","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,"Old Bexley and Sidcup","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Oldham East and Saddleworth","Liberal.Democrat","Labour",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Oldham West and Royton","British.National","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Orkney and Shetland","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Orpington","Liberal.Democrat","Conservative",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Oxford East","Liberal.Democrat","Labour",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Oxford West and Abingdon","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Paisley North","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Paisley South","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Pendle","United.Kingdom.Independence","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9999999999999,0
0,99.9999999999998,0,0,0,0,0,0,"Penrith and The Border","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Perth","Scottish.National","Scottish.National",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
0,100,0,0,0,0,0,0,"Peterborough","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Plymouth Devonport","Labour","Labour",0,0,0,99.9999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Plymouth Sutton","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Pontefract and Castleford","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Pontypridd","Labour","Labour",0,0,0,99.9999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,"Poole","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Poplar and Canning Town","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Portsmouth North","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Portsmouth South","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Preseli Pembrokeshire","United.Kingdom.Independence","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
0,0,0,0,0,0,0,0,"Preston","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999998,0,0,0,0,0,0,"Pudsey","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,"Putney","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,"Rayleigh","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Reading East","Liberal.Democrat","Labour",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Reading West","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Redcar","Labour","Labour",0,0,0,99.9999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999998,0,0,0,0,0,0,"Redditch","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Regent's Park and Kensington North","Labour","Labour",0,0,0,99.9999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,"Reigate","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Renfrewshire West","Scottish.National","Labour",0,0,0,24.577067835744,0,0,0,0,0,0,0,75.422932164256,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Rhondda","Labour","Labour",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,"Ribble Valley","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999998,0,0,0,0,0,0,"Richmond (Yorkshire)","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Richmond Park","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Rochdale","Liberal.Democrat","Labour",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999998,0,0,0,0,0,0,"Rochford and Southend East","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,"Romford","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
