"UK.Independence.Party","Conservative","Green","Democratic.Unionist.Party","Alliance","Sinn.Fein","Social.Democratic.and.Labour.Party","Ulster.Unionist.Party","Cannabis.is.Safer.than.Alcohol.Party","Traditional.Unionist.Voice","Ind86","Constituency","CV","FPTP","Labour","Plaid.Cymru","Liberal.Democrat","Trade.Unionist.and.Socialist.Coalition","Scottish.National.Party","National.Health.Action.Party","Respect","Speaker","Ind38"
0,40225.9999999998,0,0,0,0,0,0,0,0,0,"Chelsea and Fulham","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cheltenham","Liberal.Democrat","Conservative",0,0,53463,0,0,0,0,0,0
0,52729.9999999999,0,0,0,0,0,0,0,0,0,"Chesham and Amersham","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Chesterfield","Labour","Labour",45438,0,0,0,0,0,0,0,0
0,57033,0,0,0,0,0,0,0,0,0,"Chichester","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,43751,0,0,0,0,0,0,0,0,0,"Chingford and Woodford Green","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Chippenham","Liberal.Democrat","Conservative",0,0,55407.0000000001,0,0,0,0,0,0
0,52895,0,0,0,0,0,0,0,0,0,"Chipping Barnet","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Chorley","Labour","Labour",51573.9999999999,0,0,0,0,0,0,0,0
0,49706.9999999999,0,0,0,0,0,0,0,0,0,"Christchurch","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,35997,0,0,0,0,0,0,0,0,"Cities of London and Westminster","Green","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"City of Chester","Labour","Labour",51161,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"City of Durham","Labour","Labour",44825.0000000001,0,0,0,0,0,0,0,0
44207,0,0,0,0,0,0,0,0,0,0,"Clacton","UK.Independence.Party","UK.Independence.Party",0,0,0,0,0,0,0,0,0
45089.0000000001,0,0,0,0,0,0,0,0,0,0,"Cleethorpes","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
35064,0,0,0,0,0,0,0,0,0,0,"Clwyd South","UK.Independence.Party","Labour",0,0,0,0,0,0,0,0,0
37222,0,0,0,0,0,0,0,0,0,0,"Clwyd West","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Coatbridge, Chryston and Bellshill","Scottish.National.Party","Scottish.National.Party",0,0,0,0,50698.0000000001,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Colchester","Liberal.Democrat","Conservative",0,0,48484.0000000001,0,0,0,0,0,0
0,56174.0000000001,0,0,0,0,0,0,0,0,0,"Colne Valley","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,50976,0,0,0,0,0,0,0,0,0,"Congleton","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Copeland","Labour","Labour",39631,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Corby","Labour","Conservative",56173.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Coventry North East","Labour","Labour",41939,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Coventry North West","Labour","Labour",45246,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Coventry South","Labour","Labour",43612.9999999999,0,0,0,0,0,0,0,0
0,48550.0000000001,0,0,0,0,0,0,0,0,0,"Crawley","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Crewe and Nantwich","Labour","Conservative",49895.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Croydon Central","Labour","Conservative",52884,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Croydon North","Labour","Labour",53256.0000000001,0,0,0,0,0,0,0,0
0,57426,0,0,0,0,0,0,0,0,0,"Croydon South","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cumbernauld, Kilsyth and Kirkintilloch East","Scottish.National.Party","Scottish.National.Party",0,0,0,0,49382,0,0,0,0
0,0,29939,0,0,0,0,0,0,0,0,"Cynon Valley","Green","Labour",0,0,0,0,0,0,0,0,0
42695,0,0,0,0,0,0,0,0,0,0,"Dagenham and Rainham","UK.Independence.Party","Labour",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Darlington","Labour","Labour",41141,0,0,0,0,0,0,0,0
0,52206.9999999999,0,0,0,0,0,0,0,0,0,"Dartford","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,52518,0,0,0,0,0,0,0,0,0,"Daventry","Conservative","Conservative",0,0,0,0,0,0,0,0,0
37457,0,0,0,0,0,0,0,0,0,0,"Delyn","UK.Independence.Party","Labour",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Denton and Reddish","Labour","Labour",38458.9999999998,0,0,0,0,0,0,0,0
44745.0000000001,0,0,0,0,0,0,0,0,0,0,"Derby North","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Derby South","Labour","Labour",40676.9999999999,0,0,0,0,0,0,0,0
0,47212.0000000003,0,0,0,0,0,0,0,0,0,"Derbyshire Dales","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,49006.0000000001,0,0,0,0,0,0,0,0,0,"Devizes","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Dewsbury","Labour","Labour",53300,0,0,0,0,0,0,0,0
42244.0000000001,0,0,0,0,0,0,0,0,0,0,"Don Valley","UK.Independence.Party","Labour",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Doncaster Central","Labour","Labour",40111,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Doncaster North","Labour","Labour",38891.0000000001,0,0,0,0,0,0,0,0
50224.0000000001,0,0,0,0,0,0,0,0,0,0,"Dover","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
37836,0,0,0,0,0,0,0,0,0,0,"Dudley North","UK.Independence.Party","Labour",0,0,0,0,0,0,0,0,0
38210,0,0,0,0,0,0,0,0,0,0,"Dudley South","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Dulwich and West Norwood","Labour","Labour",51175.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Dumfries and Galloway","Scottish.National.Party","Scottish.National.Party",0,0,0,0,56601.9999999999,0,0,0,0
0,52133.9999999999,0,0,0,0,0,0,0,0,0,"Dumfriesshire, Clydesdale and Tweeddale","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Dundee East","Scottish.National.Party","Scottish.National.Party",0,0,0,0,48185,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Dundee West","Scottish.National.Party","Scottish.National.Party",0,0,0,0,44714,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Dunfermline and West Fife","Scottish.National.Party","Scottish.National.Party",0,0,0,0,55890.0000000001,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Dwyfor Meirionnydd","Plaid.Cymru","Plaid.Cymru",0,27525.0000000001,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Ealing Central and Acton","Labour","Labour",50603,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Ealing North","Labour","Labour",48510.0000000001,0,0,0,0,0,0,0,0
