Constituency,Nation,Region,Electorate,Votes,Result,Con,Lab,LDem,SNP,PC,UKIP,Grn,Ind,Oth,DUP,SF,AP,SDLP,UUP,WP,PBPA,TUV,CISTA,Speaker
Camberwell & Peckham,England,London,85613,57412,Hold,7349,44665,3413,,,,1627,358,,,,,,,,,,,
Camborne & Redruth,England,South West,68419,48456,Hold,23001,21424,2979,,,,1052,,,,,,,,,,,,
Cambridge,England,East of England,78544,55934,Hold,9133,29032,16371,,,,1265,133,,,,,,,,,,,
Cannock Chase,England,West Midlands,74540,47872,Hold,26318,17927,794,,,2018,815,,,,,,,,,,,,
Canterbury,England,South East,78182,56800,Gain,25385,25572,4561,,,,1282,,,,,,,,,,,,
Cardiff Central,Wales,Wales,59288,40367,Hold,7997,25193,5415,,999,343,420,,,,,,,,,,,,
Cardiff North,Wales,Wales,67221,52022,Gain,21907,26081,1714,,1738,582,,,,,,,,,,,,,
Cardiff South & Penarth,Wales,Wales,76499,50736,Hold,15318,30182,1430,,2162,942,532,170,,,,,,,,,,,
Cardiff West,Wales,Wales,66775,46629,Hold,13874,26425,1214,,4418,698,,,,,,,,,,,,,
Carlisle,England,North West,62294,43056,Hold,21472,18873,1256,,,1455,,,,,,,,,,,,,
Carmarthen East & Dinefwr,Wales,Wales,55976,41029,Hold,10778,12219,920,,16127,985,,,,,,,,,,,,,
Carmarthen West & South Pembrokeshire,Wales,Wales,58565,42226,Hold,19771,16661,956,,3933,905,,,,,,,,,,,,,
Carshalton & Wallington,England,London,70849,50753,Hold,19450,9360,20819,,,,501,434,189,,,,,,,,,,
Castle Point,England,East of England,69470,44710,Hold,30076,11204,1049,,,2381,,,,,,,,,,,,,
Central Ayrshire,Scotland,Scotland,68999,45087,Hold,15504,11762,1050,16771,,,,,,,,,,,,,,,
Central Devon,England,South West,74370,57844,Hold,31278,15598,6770,,,1326,1531,871,470,,,,,,,,,,
Central Suffolk & North Ipswich,England,East of England,78116,56504,Hold,33992,16807,2431,,,1635,1639,,,,,,,,,,,,
Ceredigion,Wales,Wales,54262,39767,Gain,7307,8017,11519,,11623,602,542,,157,,,,,,,,,,
Charnwood,England,East Midlands,78071,55176,Hold,33318,16977,2052,,,1471,1036,322,,,,,,,,,,,
Chatham & Aylesford,England,South East,70419,44890,Hold,25587,15129,1116,,,2225,573,,260,,,,,,,,,,
Cheadle,England,North West,73406,54572,Hold,24331,10417,19824,,,,,,,,,,,,,,,,
Chelmsford,England,East of England,81032,56860,Hold,30525,16953,6916,,,1645,821,,,,,,,,,,,,
Chelsea & Fulham,England,London,63728,42128,Hold,22179,13991,4627,,,524,807,,,,,,,,,,,,
Cheltenham,England,South West,78878,57012,Hold,26615,5408,24046,,,,943,,,,,,,,,,,,
Chesham & Amersham,England,South East,71654,55252,Hold,33514,11374,7179,,,1525,1660,,,,,,,,,,,,
Chesterfield,England,East Midlands,72069,47927,Hold,16661,26266,2612,,,1611,777,,,,,,,,,,,,
Chichester,England,South East,84991,59918,Hold,36032,13411,6749,,,1650,1992,84,,,,,,,,,,,
Chingford & Woodford Green,England,London,65958,46961,Hold,23076,20638,2043,,,,1204,,,,,,,,,,,,
Chippenham,England,South West,76432,50633,Hold,35230,10059,4020,,,,1324,,,,,,,,,,,,
Chipping Barnet,England,London,77218,55423,Hold,25679,25326,3012,,,,1406,,,,,,,,,,,,
Chorley,England,North West,76404,55634,Hold,23233,30745,1126,,,,530,,,,,,,,,,,,
Christchurch,England,South West,70309,50633,Hold,35230,10059,4020,,,,1324,,,,,,,,,,,,
Cities of London & Westminster,England,London,61533,38654,Hold,18005,14857,4270,,,426,821,173,102,,,,,,,,,,
City of Chester,England,North West,72859,56471,Hold,22847,32073,1551,,,,,,,,,,,,,,,,
City of Durham,England,North East,71132,48324,Hold,14408,26772,4787,,,1116,797,399,45,,,,,,,,,,
Clacton,England,East of England,68566,42310,Gain,27031,11203,,,,3357,719,,,,,,,,,,,,
Cleethorpes,England,Yorkshire & Humber,72711,47844,Hold,27321,16921,1110,,,2022,470,,,,,,,,,,,,
Clwyd South,Wales,Wales,53729,37474,Hold,14646,19002,731,,2293,802,,,,,,,,,,,,,
Clwyd West,Wales,Wales,58263,40654,Hold,19541,16104,1091,,3918,,,,,,,,,,,,,,
"Coatbridge, Chryston & Bellshill",Scotland,Scotland,71198,45040,Gain,7318,19193,922,17607,,,,,,,,,,,,,,,
Colchester,England,East of England,79996,53545,Hold,24565,18888,9087,,,,828,,177,,,,,,,,,,
Colne Valley,England,Yorkshire & Humber,84387,60483,Gain,27903,28881,2494,,,,892,313,,,,,,,,,,,
Congleton,England,North West,76694,56231,Hold,31830,19211,2902,,,1289,999,,,,,,,,,,,,
Copeland,England,North West,61751,42927,Gain,21062,19367,1404,,,1094,,,,,,,,,,,,,
Corby,England,East Midlands,83020,59997,Hold,29534,26844,1545,,,1495,579,,,,,,,,,,,,
Coventry North East,England,West Midlands,75759,46508,Hold,13919,29499,1157,,,1350,502,81,,,,,,,,,,,
Coventry North West,England,West Midlands,75196,49849,Hold,18314,26894,1286,,,1525,666,1164,,,,,,,,,,,
Coventry South,England,West Midlands,70736,47009,Hold,17927,25874,1343,,,1037,604,224,,,,,,,,,,,
Crawley,England,South East,73425,50273,Hold,25426,22969,1878,,,,,,,,,,,,,,,,
Crewe & Nantwich,England,North West,78895,55027,Gain,25880,25928,1334,,,1885,,,,,,,,,,,,,
Croydon Central,England,London,80045,57091,Gain,24221,29873,1083,,,1040,626,71,177,,,,,,,,,,
Croydon North,England,London,87461,59623,Hold,11848,44213,1656,,,753,983,170,,,,,,,,,,,
Croydon South,England,London,83518,61257,Hold,33334,21928,3541,,,1116,1125,,213,,,,,,,,,,
"Cumbernauld, Kilsyth & Kirkintilloch East",Scotland,Scotland,66554,43833,Hold,8010,14858,1238,19122,,605,,,,,,,,,,,,,
Cynon Valley,Wales,Wales,51334,31802,Hold,6166,19404,585,,4376,1271,,,,,,,,,,,,,
Dagenham & Rainham,England,London,70616,45537,Hold,18000,22958,465,,,3246,544,239,85,,,,,,,,,,
Darlington,England,North East,66341,44817,Hold,19401,22681,1031,,,1180,524,,,,,,,,,,,,
Dartford,England,South East,78506,54224,Hold,31210,18024,1428,,,2544,807,211,,,,,,,,,,,
Daventry,England,East Midlands,75268,55663,Hold,35464,13730,4015,,,1497,957,,,,,,,,,,,,
Delyn,Wales,Wales,54090,39418,Hold,16333,20573,1031,,1481,,,,,,,,,,,,,,
Denton & Reddish,England,North West,67674,39599,Hold,11084,25161,853,,,1798,486,,217,,,,,,,,,,
Derby North,England,East Midlands,69919,48672,Gain,21607,23622,2262,,,1181,,,,,,,,,,,,,
Derby South,England,East Midlands,69918,45306,Hold,15182,26430,1229,,,2011,454,,,,,,,,,,,,
Derbyshire Dales,England,East Midlands,64430,49571,Hold,29744,15417,3126,,,,1002,282,,,,,,,,,,,
Devizes,England,South West,72184,50593,Hold,31744,10608,4706,,,1706,1606,223,,,,,,,,,,,
Dewsbury,England,Yorkshire & Humber,81343,56545,Hold,25493,28814,1214,,,,1024,,,,,,,,,,,,
Don Valley,England,Yorkshire & Humber,73990,45988,Hold,19182,24351,856,,,,,1599,,,,,,,,,,,
Doncaster Central,England,Yorkshire & Humber,71718,43024,Hold,14784,24915,973,,,,,1346,1006,,,,,,,,,,
Doncaster North,England,Yorkshire & Humber,72377,42312,Hold,11687,25711,706,,,2738,,741,729,,,,,,,,,,
Dover,England,South East,74564,51966,Hold,27211,20774,1336,,,1722,923,,,,,,,,,,,,
Dudley North,England,West Midlands,62043,38910,Hold,18068,18090,368,,,2144,240,,,,,,,,,,,,
Dudley South,England,West Midlands,61323,38244,Hold,21588,13858,625,,,1791,382,,,,,,,,,,,,
Dulwich & West Norwood,England,London,78037,56143,Hold,10940,39096,4475,,,,1408,121,103,,,,,,,,,,
Dumfries & Galloway,Scotland,Scotland,74206,51599,Gain,22344,10775,1241,16701,,,,538,,,,,,,,,,,
"Dumfriesshire, Clydesdale & Tweeddale",Scotland,Scotland,67672,48964,Hold,24177,8102,1949,14736,,,,,,,,,,,,,,,
Dundee East,Scotland,Scotland,65854,42928,Hold,11746,11176,1615,18391,,,,,,,,,,,,,,,
Dundee West,Scotland,Scotland,62644,38617,Hold,6257,12723,1189,18045,,,,403,,,,,,,,,,,
Dunfermline & West Fife,Scotland,Scotland,75672,51010,Hold,12593,17277,3019,18121,,,,,,,,,,,,,,,
Dwyfor Meirionnydd,Wales,Wales,44699,30348,Hold,8837,6273,937,,13687,614,,,,,,,,,,,,,
Ealing Central & Acton,England,London,74200,55342,Hold,19230,33037,3075,,,,,,,,,,,,,,,,
Ealing North,England,London,74764,52518,Hold,14942,34635,1275,,,921,745,,,,,,,,,,,,
"Ealing, Southall",England,London,65188,45145,Hold,9630,31720,1892,,,504,1037,362,,,,,,,,,,,
Easington,England,North East,62385,36276,Hold,8216,23152,416,,,1727,410,,2355,,,,,,,,,,
East Antrim,Northern Ireland,Northern Ireland,62908,38143,,963,,,,,,,,,21873,3555,5950,1278,4524,,,,,
