Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Alliance,Anti-Corruption Forum,Asian League,British National,Chairman of Sunrise Radio,Christian Democratic,Christian Peoples' Alliance,Church of the Militant Elvis,Communist of Britain,Community Candidate Empowering Change,Conservative,Countryside,Defend The Welfare State Against Blairism,Democratic Unionist,Direct Customer Service,Extinction Club,Fancy Dress,Free,Green,Grey,Independent,Independent Socialist,Independent Vote For Yourself,Isle of Wight,Jam Wrestling,John Lillburne Democratic,Justice,Kidderminster Hospital and Health Concern,Labour,Left Alliance,Legalise Cannabis Alliance,Liberal,Liberal Democrat,Liberated,Low Excise Duty,Marxist,Mebyon Kernow,Monster Raving Loony,Muslim,National Front,New Britain,New Millennium Bean,Northern Ireland Unionist,"Pacifist for Peace, Justice, Cooperation, Environment",Pathfinders,Pensioner Coalition,People's Choice,People's Justice,Plaid Cymru,Pro-Euro Conservative,Progress Democratic Members Decide Policy,Progressive Unionist,ProLife Alliance,Qari,Rate Payers,Reform 2000,Reform UK,Residents and Motorists of Great Britain,Rock 'n' Roll Loony,Scottish Freedom Referendum,Scottish National,Scottish Socialist,Scottish Unionist,Sinn Fein,Social Democratic and Labour,Socialist,Socialist Alliance,Socialist Alternative,Socialist Labour,Stuckist,Tatton Group Independent,The Speaker,Third Way,Truth,Ulster Unionist,United Kingdom Independence,United Kingdom Unionist,Unrepresented People's,Wessex Regionalists,Women For Life On Earth,Women's Coalition (NI),Workers',Workers' Revolutionary
,Orpington,,2001,74423,50912,,,,,,,,,,,22334,,,,,,,,,,,,,,,,,,5517,,,,22065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996,,,,,,,
,Oxford East,,2001,74421,39848,,,,,,,,,,,7446,,,,,,,,1501,,77,,,,,,,,19681,,,,9337,,,,,,,,,,,,,,,,,,,,254,,,,,,,,,,,,,,708,,274,,,,,,,570,,,,,,,
,Oxford West and Abingdon,,2001,79915,51568,,,,,,,,,,,15485,,,,,93,,,1423,,332,,,,,,,,9114,,,,24670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,,,,,,,
,Paisley North,,2001,47994,27153,,,,,,,,,,,2404,,,,,,,,,,,,,,,,,,15058,,,,2709,,,,,,,,,,,,,,,,,,,,263,,,,,,,,5737,982,,,,,,,,,,,,,,,,,,,,,
,Paisley South,,2001,53351,30536,,,,,,,,,,,2301,,,,,,,,,,126,,,,,,,,17830,,,,3178,,,,,,,,,,,,,,,,,,,,346,,,,,,,,5920,835,,,,,,,,,,,,,,,,,,,,,
,Pendle,,2001,62870,39732,,,,1976,,,,,,,13454,,,,,,,,,,,,,,,,,,17729,,,,5479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094,,,,,,,
,Penrith and The Border,,2001,67776,44249,,,,,,,,,,,24302,,,,,,,,,,337,,,,,,,,8177,,870,,9625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938,,,,,,,
,Perth,,2001,61497,37816,,,,,,,,,,,11189,,,,,,,,,,,,,,,,,,9638,,,,4853,,,,,,,,,,,,,,,,,,,,,,,,,,,,11237,899,,,,,,,,,,,,,,,,,,,,,
,Peterborough,,2001,64918,39812,,,,,,,,,,,15121,,,,,,,,,,,,,,,,,,17975,,,,5761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955,,,,,,,
,Plymouth Devonport,,2001,73666,41719,,,,,,,,,,,11289,,,,,,,,,,,,,,,,,,24322,,,,4513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,,303,,,,,,,958,,,,,,,
,Plymouth Sutton,,2001,68438,39073,,,,,,,,,,,12310,,,,,,,,,,,,,,,,,,19827,,,,5605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,,,,,,,970,,,,,,,
,Pontefract and Castleford,,2001,63181,31391,,,,,,,,,,,5512,,,,,,,,,,,,,,,,,,21890,,,,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,605,,,,,,,739,,,,,,,
,Pontypridd,,2001,66105,38309,,,,,,,,,,,5096,,,,,,,,,,,,,,,,,,22963,,,,4152,,,,,,,,,,,,,,,,5279,,,,216,,,,,,,,,,,,,,,,,,,,,,,603,,,,,,,
,Poole,,2001,64644,39233,,,,,,,,,,,17710,,,,,,,,,,,,,,,,,,10544,,,,10011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968,,,,,,,
,Poplar and Canning Town,,2001,75173,34108,,,,1743,,,,,,,6758,,,,,,,,,,,,,,,,,,20862,,,,3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,,,,,,,,,,,,,,,,
,Portsmouth North,,2001,64256,36866,,,,,,,,,,,13542,,,,,,,,,,294,,,,,,,,18676,,,,3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,,,,,,,
,Portsmouth South,,2001,77095,39215,,,,,,,,,,,11396,,,,,,,,,,,,,,,,,,9361,,,,17490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,,,,,,,,,321,,,,,,,
,Preseli Pembrokeshire,,2001,54283,36777,,,,,,,,,,,12260,,,,,,,,,,,,,,,,,,15206,,,,3882,,,,,,,,,,,,,,,,4658,,,,,,,,,,,,,,,,,,,,452,,,,,,,319,,,,,,,
,Preston,,2001,72077,36041,,,,,,,,,,,8272,,,,,,,,1019,,1241,,,,,,,,20540,,,,4746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pudsey,,2001,71405,45175,,,,,,,,,,,16091,,,,,,,,,,,,,,,,,,21717,,,,6423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944,,,,,,,
,Putney,,2001,60643,34262,,,,,,,,,,,13148,,,,,,,,,,,,,,,,,,15911,,,,4671,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,347,,,,,,,
,Rayleigh,,2001,70073,42773,,,,,,,,,,,21434,,,,,,,,,,,,,,,,,,13144,,,,6614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581,,,,,,,
,Reading East,,2001,74637,43618,,,,,,,,,,,13943,,,,,,,,1053,,94,,,,,,,,19531,,,,8078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,,,,,,,,,525,,,,,,,
,Reading West,,2001,71688,41986,,,,,,,,,,,13451,,,,,,,,,,,,,,,,,,22300,,,,5387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,,,,,,,
,Redcar,,2001,66179,38198,,,,,,,,,,,9583,,,,,,,,,,,,,,,,,,23026,,,,4817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,,,,,,,,,,,,,,
,Redditch,,2001,62543,37032,,,,,,,,,,,14415,,,,,,,,651,,,,,,,,,,16899,,,,3808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1259,,,,,,,
,Regent's Park and Kensington North,,2001,75886,37052,,,,,,,,,,,9981,,,,,,,,1268,,74,,,,,,,,20247,,,,4669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,,,,,,,,,354,,,,,,,
,Reigate,,2001,65023,39474,,,,,,,,,,,18875,,,,,,,,,,,,,,,,,,10850,,,,8330,,,,,,,,,,,,,,,,,,,,,,,,357,,,,,,,,,,,,,,,,,,,1062,,,,,,,
,Renfrewshire West,,2001,52889,33497,,,,,,,,,,,5522,,,,,,,,,,,,,,,,,,15720,,,,4185,,,,,,,,,,,,,,,,,,,,,,,,,,,,7145,925,,,,,,,,,,,,,,,,,,,,,
,Rhondda,,2001,56059,34002,,,,,,,,,,,1557,,,,,,,,,,507,,,,,,,,23230,,,,1525,,,,,,,,,,,,,,,,7183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ribble Valley,,2001,74319,49171,,,,,,,,,,,25308,,,,,,,,,,,,,,,,,,9793,,,,14070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Richmond (Yorkshire),,2001,65360,44034,,,,,,,,,,,25951,,,,,,,,,,,,,,,,,,9632,,,,7890,,,,,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Richmond Park,,2001,72663,49151,,,,,,,,,,,18480,,,,,,,,1223,,115,,,,,,,,5541,,,,23444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,,,,,,,
,Rochdale,,2001,69506,39412,,,,,,,,,,,5274,,,,,,,,728,,253,,,,,,,,19406,,,,13751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rochford and Southend East,,2001,69991,37452,,,,,,,,,,,20058,,,,,,,,990,,,,,,,,,,13024,,,600,2780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Romford,,2001,59893,35701,,,,414,,,,,,,18931,,,,,,,,,,,,,,,,,,12954,,,,2869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,,,,,,,
,Romsey,,2001,70584,48459,,,,,,,,,,,20386,,,,,,,,,,,,,,,,,,3986,,601,,22756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,,,,,,,
,"Ross, Skye and Inverness West",,2001,56522,34812,,,,,,,,,,,3096,265,,,,,,,699,,,,,,,,,,5880,,,,18832,,,,,,,,,,,,,,,,,,,,,,,,,,,,4901,683,,,,,,,,,,,,,,456,,,,,,,
,Rossendale and Darwen,,2001,70280,41358,,,,,,,,,,,15028,,,,,,,,,,,,,,,,,,20251,,,,6079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rother Valley,,2001,69174,36803,,,,,,,,,,,7969,,,,,,,,,,,,,,,,,,22851,,,,4603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380,,,,,,,
,Rotherham,,2001,57931,29354,,,,,,,,,,,5682,,,,,,,,577,,,,,,,137,,,18759,,,,3117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,,,,,,,,,730,,,,,,,
,Roxburgh and Berwickshire,,2001,47059,28797,,,,,,,,,,,6533,,,,,,,,,,,,,,,,,,4498,,,,14044,,,,,,,,,,,,,,,,,,,,,,,,,,,,2806,463,,,,,,,,,,,,,,453,,,,,,,
,Rugby and Kenilworth,,2001,79764,53796,,,,,,,,,,,21344,,,,,,,,,,,,,,,,,,24221,,,,7444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787,,,,,,,
,Ruislip-Northwood,,2001,60788,37141,,,,547,,,,,,,18115,,,,,,,,724,,,,,,,,,,10578,,,,7177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Runnymede and Weybridge,,2001,75569,42426,,,,,,,,,,,20646,,,,,,,,1238,,,,,,,,,,12286,,,,6924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332,,,,,,,
,Rushcliffe,,2001,81839,54446,,,,,,,,,,,25869,,,,,,,,1236,,,,,,,,,,18512,,,,7395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434,,,,,,,
,Rutland and Melton,,2001,72448,47056,,,,,,,,,,,22621,,,,,,,,817,,,,,,,,,,14009,,,,8386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223,,,,,,,
,Ryedale,,2001,66543,43899,,,,,,,,,,,20711,,,,,,,,,,,,,,,,,,6470,,,,15836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882,,,,,,,
,Saffron Walden,,2001,76724,50040,,,,,,,,,,,24485,,,,,,,,,,,,,,,,,,11305,,,,12481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1769,,,,,,,
,Salford,,2001,54152,22514,,,,,,,,,,,3446,,,,,,,,,,216,,,,,,,,14649,,,,3637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,,,,,,,,,,,,,,,,
,Salisbury,,2001,80538,52603,,,,,,,,,,,24527,,,,,,,,1095,,,,,,,,,,9199,,,,15824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,,,,,,,
,Scarborough and Whitby,,2001,75213,47523,,,,,,,,,,,18841,,,,,,,,1049,,,,,,,,,,22426,,,,3977,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,970,,,,,,,
,Scunthorpe,,2001,59689,33625,,,,,,,,,,,9724,,,,,,,,,,302,,,,,,,,20096,,,,3156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,,,,,,,
,Sedgefield,,2001,64925,40258,,,,,,,,,,,8397,,,,,,,,,,,,,,,,,,26110,,,,3624,,,,,,,,,,,,,,,,,,,,,,,,,,375,,,,,,,,,,518,,,,,,,974,,,,260,,,
,Selby,,2001,77924,50272,,,,,,,,,,,20514,,,,,,,,902,,,,,,,,,,22652,,,,5569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635,,,,,,,
,Sevenoaks,,2001,66648,42614,,,,,,,,,,,21052,,,,,,,,,,,,,,,,,,10898,,,,9214,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,,,,,,,
,Sheffield Attercliffe,,2001,68386,35824,,,,,,,,,,,5443,,,,,,,,,,,,,,,,,,24287,,,,5092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,,,,,,,
,Sheffield Brightside,,2001,54711,25552,,,,,,,,,,,2601,,,,,,,,,,,,,,,,,,19650,,,,2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,,354,,,,,,,348,,,,,,,
,Sheffield Central,,2001,62018,30069,,,,,,,,,,,3289,,,,,,,,1008,,,,,,,,,,18477,,,,5933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,,289,,,,,,,257,,,,,,,62
,Sheffield Hallam,,2001,60288,38246,,,,,,,,,,,11856,,,,,,,,,,,,,,,,,,4758,,,,21203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429,,,,,,,
,Sheffield Heeley,,2001,62758,34139,,,,,,,,,,,4864,,,,,,,,774,,,,,,,,,,19452,,,,7748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,,,,,,,634,,,,,,,
,Sheffield Hillsborough,,2001,75097,42536,,,,,,,,,,,7801,,,,,,,,,,,,,,,,,,24170,,,,9601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964,,,,,,,
,Sherwood,,2001,75670,45900,,,,,,,,,,,15527,,,,,,,,,,,,,,,,,,24900,,,,5473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shipley,,2001,69577,46020,,,,,,,,,,,18815,,,,,,,,1386,,,,,,,,,,20243,,,,4996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,,,,,,,
,Shrewsbury and Atcham,,2001,74964,49909,,,,,,,,,,,18674,,,,,,,,931,,258,,,,,,,,22253,,,,6173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620,,,,,,,
,Shropshire North,,2001,73716,46520,,,,,,,,,,,22631,,,,,,,,,,389,,,,,,,,16390,,,,5945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165,,,,,,,
,Sittingbourne and Sheppey,,2001,65825,37858,,,,,,,,,,,13831,,,,,,,,,,,,,,,,,,17340,,,,5353,,,,,,,,,,,,,,,,,,,,,,,,,,673,,,,,,,,,,,,,,,,,661,,,,,,,
,Skipton and Ripon,,2001,75201,49126,,,,,,,,,,,25736,,,,,,,,,,,,,,,,,,8543,,,,12806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041,,,,,,,
,Sleaford and North Hykeham,,2001,74561,48719,,,,,,,,,,,24190,,,,,,,,,,,,,,,,,,15568,,,,7894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067,,,,,,,
,Slough,,2001,72429,38998,,,,,,,,,,,10210,,,,,,,,,,859,,,,,,,,22718,,,,4109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,,,,,,,
,Solihull,,2001,77094,48271,,,,,,,,,,,21935,,,,,,,,,,,,,,,,,,12373,,,,12528,,,,,,,,,,,,,,,,,,,,374,,,,,,,,,,,,,,,,,,,,,,,1061,,,,,,,
,Somerton and Frome,,2001,74991,52684,,,,,,,,,,,22315,,,,,,,,,,,,,,,,,,6113,,,354,22983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919,,,,,,,
,South Holland and the Deepings,,2001,73880,46202,,,,,,,,,,,25611,,,,,,,,,,,,,,,,,,14512,,,,4761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318,,,,,,,
,South Ribble,,2001,73794,46130,,,,,,,,,,,17594,,,,,,,,,,,,,,,,,,21386,,,,7150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Shields,,2001,61802,30448,,,,,,,,,,,5140,,,,,,,,,,262,,,,,,,,19230,,,,5127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689,,,,,,,
,Southampton Itchen,,2001,76603,41373,,,,,,,,,,,11330,,,,,,,,,,,,,,,,,,22553,,,,6195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,,225,,,,,,,829,,,,,,,
,Southampton Test,,2001,73893,41575,,,,,,,,,,,10617,,,,,,,,,,,,,,,,,,21824,,,,7522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,,378,,,,,,,792,,,,,,,
,Southend West,,2001,64116,37375,,,,,,,,,,,17313,,,,,,,,,,,,,,,,,,9372,,,,9319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1371,,,,,,,
,Southport,,2001,70785,41153,,,,,,,,,,,15004,,,,,,,,,,,,,,,,,,6816,,,767,18011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,,,,,,,
,Southwark North and Bermondsey,,2001,73527,36862,,,,,,,,,,,2800,,,,,,,,752,,77,,,,,,,,11359,,,,20991,,,,,,,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,,,,,,,
,Sparkbrook and Small Heath,,2001,74358,36647,,,,,,,,,,,3948,,,,,,,,,,662,,,,,,,,21087,,,,4841,,,,,,401,,,,,,,,,4770,,,,,,,,,,,,,,,,,,,304,,,,,,,,,634,,,,,,,
,Spelthorne,,2001,68731,41794,,,,,,,,,,,18851,,,,,,,,,,,,,,,,,,15589,,,,6156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198,,,,,,,
,St. Albans,,2001,66040,43761,,,,,,,,,,,15423,,,,,,,,,,,,,,,,,,19889,,,,7847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602,,,,,,,
,St. Helens North,,2001,70545,37601,,,,,,,,,,,7076,,,,,,,,,,,,,,,,,,22977,,,,6609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939,,,,,,,,,,,,,,
,St. Helens South,,2001,65122,33804,,,,,,,,,,,4675,,,,,,,,,,271,,,,,,,,16799,,,,7814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2325,,1504,,,,,,,336,,,,,,,
,St. Ives,,2001,74256,49266,,,,,,,,,,,15360,,,,,,,,,,,,,,,,,,6567,,,,25413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926,,,,,,,
,Stafford,,2001,67934,44366,,,,,,,,,,,16253,,,,,,,,,,,,,,,,,,21285,,,,4205,,,,,,,,,,,,,,,,,,,,,,,,,,308,,,,,,,,,,,,,,,,,2315,,,,,,,
,Staffordshire Moorlands,,2001,66760,42658,,,,,,,,,,,15066,,,,,,,,,,,,,,,,,,20904,,,,5928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,,,,,,,
,Staffordshire South,,2001,69925,42180,,,,,,,,,,,21295,,,,,,,,,,,,,,,,,,14414,,,,4891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580,,,,,,,
,Stalybridge and Hyde,,2001,66265,32046,,,,,,,,,,,8922,,,,,,,,,,,,,,,,,,17781,,,,4327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016,,,,,,,
,Stevenage,,2001,69203,42453,,,,,,,,,,,13459,,,,,,,,,,320,,,,,,,,22025,,,,6027,,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,,,,449,,,,,,,,,,,,,,,,
,Stirling,,2001,53097,35930,,,,,,,,,,,8901,,,,,,,,757,,,,,,,,,,15175,,,,4208,,,,,,,,,,,,,,,,,,,,,,,,,,,,5877,1012,,,,,,,,,,,,,,,,,,,,,
,Stockport,,2001,66397,35383,,,,,,,,,,,9162,,,,,,,,,,,,,,,,,,20731,,,,5490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stockton North,,2001,65192,35427,,,,,,,,,,,7823,,,,,,,,926,,,,,,,,,,22470,,,,4208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stockton South,,2001,71026,44209,,,,,,,,,,,14328,,,,,,,,,,,,,,,,,,23414,,,,6012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455,,,,,,,,,,,,,,,,
,Stoke-on-Trent Central,,2001,59750,28300,,,,,,,,,,,5325,,,,,,,,,,1657,,,,,,,,17170,,,,4148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stoke-on-Trent North,,2001,57998,30115,,,,,,,,,,,5676,,,,,,,,,,3399,,,,,,,,17460,,,,3580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stoke-on-Trent South,,2001,70032,36028,,,,1358,,,,,,,8877,,,,,,,,,,1703,,,,,,,,19366,,,,4724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stone,,2001,68847,45642,,,,,,,,,,,22395,,,,,,,,,,,,,,,,,,16359,,,,6888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stourbridge,,2001,64610,39924,,,,,,,,,,,15011,,,,,,,,,,,,,,,,,,18823,,,,4833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,,,,,,,763,,,,,,,
,Strangford,,2001,72192,43254,2902,,,,,,,,,,,,,18532,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,822,,,,,,,,,,,,,,,,,,,,,930,2646,,,,,,,,,,17422,,,,,,,,
,Stratford-on-Avon,,2001,85241,54914,,,,,,,,,,,27606,,,,,,,,1156,,,,,,,,,,9164,,,,15804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184,,,,,,,
,Strathkelvin and Bearsden,,2001,62729,41486,,,,,,,,,,,6635,,,,,,,,,,,,,,,,,,19250,,,,7533,,,,,,,,,,,,,,,,,,,,,,,,,,,,6675,1393,,,,,,,,,,,,,,,,,,,,,
,Streatham,,2001,76021,36998,,,,,,,,,,,6639,,,,,,,,1641,,,,,,,,,,21041,,,,6771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,,,,,,,,,,,,,,,,
,Stretford and Urmston,,2001,70924,38973,,,,,,,,,,,10565,,,,,,,,,,713,,,,,,,,23804,,,,3891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stroud,,2001,78878,55175,,,,,,,,,,,20646,,,,,,,,1913,,,,,,,,,,25685,,,,6036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895,,,,,,,
,Suffolk Central and North Ipswich,,2001,74200,47104,,,,,,,,,,,20924,,,,,,,,,,,,,,,,,,17455,,,,7593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132,,,,,,,
,Suffolk Coastal,,2001,75963,50407,,,,,,,,,,,21847,,,,,,,,,,,,,,,,,,17521,,,,9192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1847,,,,,,,
,Suffolk South,,2001,68408,45293,,,,,,,,,,,18748,,,,,,,,,,,,,,,,,,13667,,,,11296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582,,,,,,,
,Suffolk West,,2001,71220,42445,,,,,,,,,,,20201,,,,,,,,,,,,,,,,,,15906,,,,5017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321,,,,,,,
,Sunderland North,,2001,60846,29820,,,,687,,,,,,,5331,,,,,,,,,,1518,,,,,,,,18685,,,,3599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sunderland South,,2001,64577,31187,,,,576,,,,,,,6254,,,,,,,,,,,,,,,,,,19921,,,,3675,,,,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,,,,,,,
,Surrey East,,2001,75049,47049,,,,,,,,,,,24706,,,,,,,,,,,,,,,,,,8994,,,,11503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846,,,,,,,
,Surrey Heath,,2001,75858,45102,,,,,,,,,,,22401,,,,,,,,,,,,,,,,,,9640,,,,11582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479,,,,,,,
,Surrey South West,,2001,74127,49592,,,,,,,,,,,22462,,,,,,,,,,,,,,,,,,4321,,,,21601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1208,,,,,,,
,Sussex Mid,,2001,70632,45822,,,,,,,,,,,21150,,,,,,,,,,,,,,,,,,8693,,,,14252,,,,,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126,,,,,,,
,Sutton and Cheam,,2001,63648,39723,,,,,,,,,,,15078,,,,,,,,,,,,,,,,,,5263,,,,19382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sutton Coldfield,,2001,71856,43452,,,,,,,,,,,21909,,,,,,,,,,284,,,,,,,,11805,,,,8268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186,,,,,,,
,Swansea East,,2001,57273,30072,,,,,,,,,,,3026,,,,,,,,463,,,,,,,,,,19612,,,,3064,,,,,,,,,,,,,,,,3464,,,,,,,,,,,,,,,,,,,,,,,,,,,443,,,,,,,
