Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Alliance,Anti-Corruption Forum,Asian League,British National,Chairman of Sunrise Radio,Christian Democratic,Christian Peoples' Alliance,Church of the Militant Elvis,Communist of Britain,Community Candidate Empowering Change,Conservative,Countryside,Defend The Welfare State Against Blairism,Democratic Unionist,Direct Customer Service,Extinction Club,Fancy Dress,Free,Green,Grey,Independent,Independent Socialist,Independent Vote For Yourself,Isle of Wight,Jam Wrestling,John Lillburne Democratic,Justice,Kidderminster Hospital and Health Concern,Labour,Left Alliance,Legalise Cannabis Alliance,Liberal,Liberal Democrat,Liberated,Low Excise Duty,Marxist,Mebyon Kernow,Monster Raving Loony,Muslim,National Front,New Britain,New Millennium Bean,Northern Ireland Unionist,"Pacifist for Peace, Justice, Cooperation, Environment",Pathfinders,Pensioner Coalition,People's Choice,People's Justice,Plaid Cymru,Pro-Euro Conservative,Progress Democratic Members Decide Policy,Progressive Unionist,ProLife Alliance,Qari,Rate Payers,Reform 2000,Reform UK,Residents and Motorists of Great Britain,Rock 'n' Roll Loony,Scottish Freedom Referendum,Scottish National,Scottish Socialist,Scottish Unionist,Sinn Fein,Social Democratic and Labour,Socialist,Socialist Alliance,Socialist Alternative,Socialist Labour,Stuckist,Tatton Group Independent,The Speaker,Third Way,Truth,Ulster Unionist,United Kingdom Independence,United Kingdom Unionist,Unrepresented People's,Wessex Regionalists,Women For Life On Earth,Women's Coalition (NI),Workers',Workers' Revolutionary
,Berwick upon Tweed,,2001,56918,36308,,,,,,,,,,,10193,,,,,,,,,,,,,,,,,,6435,,,,18651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029,,,,,,,
,Bethnal Green and Bow,,2001,79192,38470,,,,1267,,,,,,,9323,,,,,,,,1666,,,,,,,,,,19380,,,,5946,,,,,,,,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beverley and Holderness,,2001,75146,46375,,,,,,,,,,,19168,,,,,,,,,,,,,,,,,,18387,,,,7356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464,,,,,,,
,Bexhill and Battle,,2001,69010,44783,,,,,,,,,,,21555,,,,,,,,,,,,,,,,,,8702,,,,11052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3474,,,,,,,
,Bexleyheath and Crayford,,2001,63580,40378,,,,1408,,,,,,,16121,,,,,,,,,,,,,,,,,,17593,,,,4476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,,,,,,,
,Billericay,,2001,78528,45598,,,,,,,,,,,21608,,,,,,,,,,,,,,,,,,16595,,,,6323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072,,,,,,,
,Birkenhead,,2001,60726,28967,,,,,,,,,,,4827,,,,,,,,,,,,,,,,,,20418,,,,3722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Edgbaston,,2001,67405,37749,,,,,,,,,,,13819,,,,,,,,,,,,,,,,,,18517,,,,4528,,,,,,,,,,,,,,,,,454,,,,,,,,,,,,,,,,,,,431,,,,,,,,,,,,,,
,Birmingham Erdington,,2001,65668,30604,,,,,,,,,,,7413,,,,,,,,,,,,,,,,,,17375,,,,3602,,,,,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,669,,343,,,,,,,521,,,,,,,
,Birmingham Hall Green,,2001,57563,33084,,,,,,,,,,,11401,,,,,,,,,,,,,,,,,,18049,,,,2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,,,,,,,
,Birmingham Hodge Hill,,2001,55254,26465,,,,889,,,,,,,5283,,,,,,,,,,,,,,,,,,16901,,,,2147,,,,,,125,,,,,,,,,561,,,,,,,,,,,,,,,,,,,,,284,,,,,,,275,,,,,,,
,Birmingham Ladywood,,2001,71113,31493,,,,,,,,,,,3551,,,,,,,,,,,,,,,,,,21694,,,,2586,,,,,,432,,,,,,,,,2112,,,,,392,,,,,,,,,,,,,,,,443,,,,,,,283,,,,,,,
,Birmingham Northfield,,2001,55922,29534,,,,,,,,,60,,8730,,,,,,,,,,,,,,,,,,16528,,,,3322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,151,,,,,,,550,,,,,,,
,Birmingham Perry Barr,,2001,71121,37417,,,,,,,,,,,8662,,,,,,,,,,,,,,,,,,17415,,,,8566,,,221,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,,1544,,,,,,,352,,,,,,,
,Birmingham Selly Oak,,2001,71237,40100,,,,,,,,,,,10676,,,,,,,,1309,,,,,,,,,,21015,,,,6532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,,,,,,,
,Birmingham Yardley,,2001,52444,30013,,,,,,,,,,,3941,,,,,,,,,,,,,,,,,,14085,,,,11507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,329,,,,,,,
,Bishop Auckland,,2001,67377,38559,,,,,,,,,,,8754,,,,,,,,1052,,,,,,,,,,22680,,,,6073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blaby,,2001,73907,47642,,,,1357,,,,,,,22104,,,,,,,,,,,,,,,,,,15895,,,,8286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blackburn,,2001,72621,40484,,,,,,,,,,,12559,,,,,,,,,,577,532,,,,,,,21808,,,,3264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,,,,,,,1185,,,,,,,
,Blackpool North and Fleetwood,,2001,74456,42581,,,,,,,,,,,15889,,,,,,,,,,,,,,,,,,21610,,,,4132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,,,,,,,
,Blackpool South,,2001,74311,38792,,,,,,,,,,,12798,,,,,,,,,,,,,,,,,,21060,,,,4115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819,,,,,,,
,Blaenau Gwent,,2001,53353,31725,,,,,,,,,,,2383,,,,,,,,,,,,,,,,,,22855,,,,2945,,,,,,,,,,,,,,,,3542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blaydon,,2001,64574,37086,,,,,,,,,,,4215,,,,,,,,,,,,,,,,,,20340,,,,12531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blyth Valley,,2001,63274,34550,,,,,,,,,,,5484,,,,,,,,,,,,,,,,,,20627,,,,8439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bognor Regis and Littlehampton,,2001,66903,38968,,,,,,,,,,,17602,,,,,,,,782,,,,,,,,,,11959,,,,6846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1779,,,,,,,
,Bolsover,,2001,67537,38271,,,,,,,,,,,7472,,,,,,,,,,,,,,,,,,26249,,,,4550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bolton North East,,2001,69514,38950,,,,,,,,,,,12744,,,,,,,,629,,,,,,,,,,21166,,,,4004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,,,,,,,,,,,,,,
,Bolton South East,,2001,68140,34154,,,,,,,,,,,8258,,,,,,,,,,,,,,,,,,21129,,,,3941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826,,,,,,,,,,,,,,
,Bolton West,,2001,66033,41214,,,,,,,,,,,13863,,,,,,,,,,,,,,,,,,19381,,,,7573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,,,,,,,,,,,,,,,,
,Bootle,,2001,56320,27594,,,,,,,,,,,2194,,,,,,,,,,,,,,,,,,21400,,,,2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,,971,,,,,,,,,,,,,,
,Boston and Skegness,,2001,69010,40313,,,,,,,,,,,17298,,,,,,,,521,,,,,,,,,,16783,,,,4994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,,,,,,,
,Bosworth,,2001,69992,45106,,,,,,,,,,,20030,,,,,,,,,,,,,,,,,,17750,,,,7326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bournemouth East,,2001,60454,35799,,,,,,,,,,,15501,,,,,,,,,,,,,,,,,,7107,,,,12067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124,,,,,,,
,Bournemouth West,,2001,62038,33648,,,,,,,,,,,14417,,,,,,,,,,,,,,,,,,9699,,,,8468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064,,,,,,,
,Bracknell,,2001,81118,49225,,,,,,,,,,,22962,,,,,,,,,,,,,,,,,,16249,,,,8424,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,,,,1266,,,,,,,
,Bradford North,,2001,66454,35017,,,,1613,,,,,,,8450,,,,,,,,611,,,,,,,,,,17419,,,,6924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bradford South,,2001,68450,35137,,,,,,,,,,,9941,,220,,,,,,,,,,,,,,,,19603,,,,3717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,,571,,,,,,,783,,,,,,,
,Bradford West,,2001,71620,38370,,,197,,,,,,,,14236,,,,,,,,2672,,,,,,,,,,18401,,,,2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,,,,,,,
,Braintree,,2001,79157,50315,,,,,,,,,,,20765,,,,,,,,1241,,,,,,,,,,21123,,774,,5664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,,,,,,,
,Brecon and Radnorshire,,2001,52247,37516,,,,,,,,,,,13073,,,,,,,,,,762,,,,,,,,8024,,,,13824,,,,,,,,,,,,,,,,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,452,,,,,,,
,Brent East,,2001,58095,28992,,,,,,,,,,,5278,,,,,,,,1361,,,,,,,,,,18325,,,,3065,,,,,,,,,,,,,,,,,,,,392,,,,,,,,,,,,,,,,383,,,,,,,188,,,,,,,
,Brent North,,2001,58789,33939,,,,,,,,,,,9944,,,,,,,,,,,,,,,,,,20149,,,,3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brent South,,2001,55891,28637,,,,,,,,,,,3604,,,,,,,,,,,,,,,,,,20984,,,,3098,,,,,,,,,,,,,,,,,,,,,,,,,460,,,,,,,,,491,,,,,,,,,,,,,,,,
