Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Liberal,Conservative,Plaid Cymru,Social Democratic,Scottish National,Ulster Unionist,Alliance,The Workers' (NI),Democratic Unionist,Social Democratic and Labour,Sinn Fein,Green,Moderate Labour,Workers' Revolutionary,Independent,Independent Ulster Democratic Unionist,Communist of Great Britain,Independent Conservative,Red Front,Independent Labour,Independent NFFG,Independent Liberal,Ulster Popular Unionist,Independent Ulster Unionist,Monster Raving Loony,Fellowship,Humanist,Rainbow Alliance,Independent Green,Socialist of Great Britain,Northern Ireland Ecology,Independent Democrat,Orkney and Shetland Movement,British National,Independent CS,Speaker
,Mitcham and Morden,,1987,63089,47751,16819,,23002,,7930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mole Valley,,1987,67715,52148,4846,15613,31689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monklands East,,1987,49644,37141,22649,3442,6260,,,4790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monklands West,,1987,50874,39333,24499,,6166,,4408,4260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monmouth,,1987,58292,47100,13037,,22387,363,11313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Montgomery,,1987,39806,31616,3304,14729,12171,1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moray,,1987,62201,45177,5118,4724,15825,,,19510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Morecambe and Lunesdale,,1987,55718,42404,9535,,22327,,10542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motherwell North,,1987,57632,44552,29825,3558,4939,,,6230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motherwell South,,1987,52127,39374,22957,,5704,,4463,6027,,,,,,,,,,,,223,,,,,,,,,,,,,,,,,,,
,Neath,,1987,55261,43570,27612,,7034,2792,6132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Forest,,1987,75083,57500,4856,15456,37188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newark,,1987,67225,52430,14527,,28070,,9833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newbury,,1987,75187,58639,4765,18608,35266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newcastle upon Tyne Central,,1987,66053,46182,20416,,17933,,7304,,,,,,,,418,,,,,,,111,,,,,,,,,,,,,,,,,
,Newcastle upon Tyne East,,1987,63682,41944,23677,6728,11177,,,,,,,,,,,,,,,362,,,,,,,,,,,,,,,,,,,
,Newcastle upon Tyne North,,1987,59369,52520,22424,17181,12915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newcastle-under-Lyme,,1987,69178,53364,21618,16486,14863,,,,,,,,,,,,,,,,,,397,,,,,,,,,,,,,,,,
,Newham North East,,1987,60787,38976,20220,6772,11984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newham North West,,1987,47568,28275,15677,,7181,,4920,,,,,,,,497,,,,,,,,,,,,,,,,,,,,,,,,
,Newham South,,1987,50244,29711,12935,,10169,,6607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newport East,,1987,52375,41813,20518,,13454,458,7383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newport West,,1987,55455,45346,20887,5903,18179,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newry and Armagh,,1987,66027,52268,0,,,,,,19812,664,482,,25137,6173,,,,,,,,,,,,,,,,,,,,,,,,,
,Norfolk Mid,,1987,73893,57780,10272,,32758,,14750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norfolk North,,1987,69790,54059,10765,,28822,,13512,,,,,,,,960,,,,,,,,,,,,,,,,,,,,,,,,
,Norfolk North West,,1987,73739,58145,10184,,29393,,18568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norfolk South,,1987,78372,63453,8047,21494,33912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norfolk South West,,1987,74240,56446,11844,12083,32519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Normanton,,1987,62899,47036,23303,,16016,,7717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Northampton North,,1987,69294,51693,15560,10690,24816,,,,,,,,,,471,,156,,,,,,,,,,,,,,,,,,,,,,
,Northampton South,,1987,76071,57211,14061,,31864,,10639,,,,,,,,647,,,,,,,,,,,,,,,,,,,,,,,,
,Northavon,,1987,78487,62940,8762,19954,34224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norwich North,,1987,62725,49690,14996,11922,22772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norwich South,,1987,64421,51892,19666,,19330,,12896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norwood,,1987,56602,37896,18359,,13636,,5579,,,,,,,,,,,,,,,,,,,,,,,,171,,,,151,,,,
,Nottingham East,,1987,68264,46963,19706,6883,20162,,,,,,,,,,,,,,,,,212,,,,,,,,,,,,,,,,,
,Nottingham North,,1987,69620,50552,22713,,21048,,5912,,,,,,,,,,,,,879,,,,,,,,,,,,,,,,,,,
,Nottingham South,,1987,72807,53525,21687,,23921,,7917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuneaton,,1987,68287,54874,18975,,24630,,10550,,,,,,,,719,,,,,,,,,,,,,,,,,,,,,,,,
,Ogmore,,1987,51631,41029,28462,,6170,1791,3954,,,,,,,,,,,,,,,,652,,,,,,,,,,,,,,,,
,Old Bexley and Sidcup,,1987,50831,39188,6762,8076,24350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oldham Central and Royton,,1987,65277,45195,21759,,15480,,7956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oldham West,,1987,57178,41093,20291,6478,14324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orkney and Shetland,,1987,31047,21319,3995,8881,4959,,,,,,,,,,389,,,,,,,,,,,,,,,,,,,,,3095,,,
,Orpington,,1987,59608,46810,5020,14529,27261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oxford East,,1987,62151,49067,21103,7648,19815,,,,,,,,,,441,,,60,,,,,,,,,,,,,,,,,,,,,
,Oxford West and Abingdon,,1987,69193,54267,8108,,25171,,20293,,,,,,,,695,,,,,,,,,,,,,,,,,,,,,,,,
,Paisley North,,1987,49487,36381,20193,,5741,,5751,4696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paisley South,,1987,51127,38479,21611,5826,5644,,,5398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Peckham,,1987,59261,32947,17965,5878,8476,,,,,,,,,,628,,,,,,,,,,,,,,,,,,,,,,,,
,Pembroke,,1987,70358,56879,17614,14832,23314,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pendle,,1987,63588,52041,18370,12662,21009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Penrith and The Border,,1987,70994,55005,6075,15782,33148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Perth and Kinross,,1987,63443,47215,7490,7969,18716,,,13040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Peterborough,,1987,84282,61954,20840,9984,30624,,,,,,,,,,506,,,,,,,,,,,,,,,,,,,,,,,,
,Plymouth Devonport,,1987,64487,49774,14166,,14569,,21039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plymouth Drake,,1987,51186,39209,9451,,16195,,13070,,,,,,,,493,,,,,,,,,,,,,,,,,,,,,,,,
,Plymouth Sutton,,1987,64120,50671,8310,19174,23187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pontefract and Castleford,,1987,64414,47315,31656,5334,10030,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,,,
,Pontypridd,,1987,61105,46920,26422,,9135,2498,8865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poole,,1987,76673,59411,5901,,34159,,19351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Portsmouth North,,1987,80501,60209,12016,,33297,,14896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Portsmouth South,,1987,76292,54365,7047,,23534,,23329,,,,,,,,,,,455,,,,,,,,,,,,,,,,,,,,,
,Preston,,1987,62672,44489,23341,8452,12696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pudsey,,1987,71681,55939,11461,19021,25457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Putney,,1987,63108,47929,17290,5934,24197,,,,,,,,,,508,,,,,,,,,,,,,,,,,,,,,,,,
,Ravensbourne,,1987,59365,44942,5087,,28295,,11376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,
,Reading East,,1987,74744,52976,11371,,28515,,12298,,,,,,,,667,,,,,,,,,,,,,,,,,,,,,,,125,
,Reading West,,1987,70391,50852,10819,11369,28122,,,,,,,,,,542,,,,,,,,,,,,,,,,,,,,,,,,
,Redcar,,1987,63393,48211,22824,,15089,,10298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reigate,,1987,71940,52163,7460,,30925,,12752,,,,,,,,1026,,,,,,,,,,,,,,,,,,,,,,,,
,Renfrew West and Inverclyde,,1987,56189,45244,17525,,13472,,9669,4578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhondda,,1987,60931,47534,34857,,3612,4261,3935,,,,,,,,,,,,,869,,,,,,,,,,,,,,,,,,,
,Ribble Valley,,1987,62571,49525,8781,,30136,,10608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Richmond (Yorkshire),,1987,79277,57151,6737,15419,34995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Richmond and Barnes,,1987,54700,45529,3227,19963,21729,,,,,,,,,,610,,,,,,,,,,,,,,,,,,,,,,,,
,Rochdale,,1987,68693,51272,19466,22245,9561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rochford,,1987,76048,59358,7308,16178,35872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Romford,,1987,55668,40599,9274,8195,22745,,,,,,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,
,Romsey and Waterside,,1987,79136,62547,7213,,35303,,20031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ross, Cromarty and Skye",,1987,52369,38078,7287,,7490,,18809,4492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rossendale and Darwen,,1987,75038,60227,23074,9097,28056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rother Valley,,1987,66416,50179,28292,,12502,,9240,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,
,Rotherham,,1987,61521,42598,25422,7766,9410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roxburgh and Berwickshire,,1987,43172,33298,2944,16388,12380,,,1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rugby and Kenilworth,,1987,76654,61049,15221,14343,31485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruislip-Northwood,,1987,56365,43778,5913,10447,27418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rushcliffe,,1987,72799,58211,9631,,34214,,13375,,,,,,,,991,,,,,,,,,,,,,,,,,,,,,,,,
,Rutland and Melton,,1987,77856,59804,8680,14051,37073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ryedale,,1987,83205,65898,5340,25409,35149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saffron Walden,,1987,73185,57813,6674,16752,33354,,,,,,,,,,816,,,217,,,,,,,,,,,,,,,,,,,,,
,Salford East,,1987,58087,38360,22555,,10499,,5105,,,,,,,,,,201,,,,,,,,,,,,,,,,,,,,,,
,Salisbury,,1987,76221,57608,5455,,31612,,20169,,,,,,,,,,,372,,,,,,,,,,,,,,,,,,,,,
,Scarborough,,1987,74612,54631,12913,,27672,,14046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sedgefield,,1987,60872,46349,25965,,12907,,7477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selby,,1987,71378,55453,14832,12010,28611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sevenoaks,,1987,73179,55924,7379,15600,32945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheffield Attercliffe,,1987,67051,48890,28266,,11075,,9549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheffield Brightside,,1987,64982,44659,31208,6434,7017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheffield Central,,1987,61156,38197,25872,,6530,,5314,,,,,,,,,,,,,203,,278,,,,,,,,,,,,,,,,,
,Sheffield Hallam,,1987,74158,55410,11290,18012,25649,,,,,,,,,,459,,,,,,,,,,,,,,,,,,,,,,,,
,Sheffield Heeley,,1987,73931,53221,28425,,13985,,10811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheffield Hillsborough,,1987,76312,59526,26208,22922,10396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sherwood,,1987,71853,58480,22321,,26816,,9343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shipley,,1987,68705,54428,12669,14311,26941,,,,,,,,,,507,,,,,,,,,,,,,,,,,,,,,,,,
,Shoreham,,1987,72601,55303,5053,16590,33660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shrewsbury and Atcham,,1987,70689,54447,10797,16963,26027,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,
,Shropshire North,,1987,77122,58221,11866,15970,30385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skipton and Ripon,,1987,72316,56171,6264,15954,33128,,,,,,,,,,825,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,,1987,73424,55732,22076,,26166,,7490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solihull,,1987,78123,58693,8791,14058,35844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Somerton and Frome,,1987,68773,54625,5461,19813,29351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Hams,,1987,78839,61805,5060,21072,34218,,,,,,,,,,1178,,,,,,,,,,,,,277,,,,,,,,,,,
,South Ribble,,1987,74643,59582,19703,11746,28133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Shields,,1987,60754,42975,24882,,11031,,6654,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,,,,
,Southampton Itchen,,1987,72687,55128,17703,,24419,,13006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southampton Test,,1987,73918,56440,18768,11950,25722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southend East,,1987,59073,40955,7296,,23753,,9906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southend West,,1987,68415,51505,3899,19603,28003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southport,,1987,71443,54507,3483,26110,24261,,,,,,,,,,653,,,,,,,,,,,,,,,,,,,,,,,,
,Southwark and Bermondsey,,1987,55438,35995,14293,17072,4522,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,
,Spelthorne,,1987,72967,54057,9227,,32440,,12390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St. Albans,,1987,75281,60391,6922,20845,31726,,,,,,,,,,788,,,110,,,,,,,,,,,,,,,,,,,,,
,St. Helens North,,1987,70836,54018,28989,10300,14729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St. Helens South,,1987,69449,49505,27027,,13226,,9252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St. Ives,,1987,67207,52068,9275,,25174,,17619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stafford,,1987,72431,57552,12177,,29541,,15834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staffordshire Mid,,1987,71252,56584,13990,13114,28644,,,,,,,,,,,,,,,,836,,,,,,,,,,,,,,,,,,
,Staffordshire Moorlands,,1987,74302,59749,17186,,31613,,10950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staffordshire South,,1987,79261,61953,11805,12440,37708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staffordshire South East,,1987,66174,53219,13874,,25115,,14230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stalybridge and Hyde,,1987,67983,50450,24401,,18738,,7311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stamford and Spalding,,1987,70560,54907,6882,17009,31016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stevenage,,1987,69525,55971,14229,,23541,,18201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stirling,,1987,57836,45935,16643,6804,17591,,,4897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stockport,,1987,60059,46905,16557,,19410,,10365,,,,,,,,573,,,,,,,,,,,,,,,,,,,,,,,,
,Stockton North,,1987,70410,52997,26043,,17242,,9712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stockton South,,1987,75279,59492,18600,,20833,,20059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stoke-on-Trent Central,,1987,65987,45376,23842,,14072,,7462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stoke-on-Trent North,,1987,74184,54070,25459,,16946,,11665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stoke-on-Trent South,,1987,70806,52204,24794,7669,19741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strangford,,1987,64429,37137,0,,,,,,28199,7553,1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stratford-on-Avon,,1987,81263,62136,6335,17318,38483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strathkelvin and Bearsden,,1987,62676,51514,19639,11034,17187,,,3654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Streatham,,1987,60519,42088,16509,6663,18916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stretford,,1987,57568,41385,22831,,13429,,5125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stroud,,1987,81275,65536,12145,20508,32883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suffolk Central,,1987,79199,60371,11817,16132,32422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suffolk Coastal,,1987,75684,58971,7534,,32834,,17554,,,,,,,,1049,,,,,,,,,,,,,,,,,,,,,,,,
,Suffolk South,,1987,81954,63577,11876,17729,33972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sunderland North,,1987,75674,53380,29767,8518,15095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sunderland South,,1987,74947,53317,28823,,16210,,7768,,,,,,,,516,,,,,,,,,,,,,,,,,,,,,,,,
,Surbiton,,1987,45428,35557,5111,,19861,,10120,,,,,,,,465,,,,,,,,,,,,,,,,,,,,,,,,
,Surrey East,,1987,59528,45949,4779,11000,29126,,,,,,,,,,1044,,,,,,,,,,,,,,,,,,,,,,,,
,Surrey North West,,1987,83083,60246,6751,14960,38535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surrey South West,,1987,73018,57228,3224,19681,34024,,,,,,,,,,,,,,,,299,,,,,,,,,,,,,,,,,,
,Sussex Mid,,1987,80143,61843,4573,19489,37781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sutton and Cheam,,1987,63850,48904,5202,13992,29710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sutton Coldfield,,1987,72329,53871,6104,13292,34475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swansea East,,1987,57200,43143,27478,6380,8140,1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swansea West,,1987,59836,45506,22089,7019,15027,902,,,,,,,,,469,,,,,,,,,,,,,,,,,,,,,,,,
,Swindon,,1987,86150,67027,24528,,29385,,13114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tatton,,1987,71904,55185,11760,,30128,,13034,,,,,,,,,,,263,,,,,,,,,,,,,,,,,,,,,
,Taunton,,1987,74225,58870,8754,,30248,,19868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tayside North,,1987,53985,40349,3550,5201,18307,,,13291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Teignbridge,,1987,71870,57686,6413,20268,30693,,,,,,,,,,,,,,,,,,,,,,,312,,,,,,,,,,,
,Thanet North,,1987,69811,50361,8395,,29225,,11745,,,,,,,,996,,,,,,,,,,,,,,,,,,,,,,,,
,Thanet South,,1987,62761,46260,9673,11452,25135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Wrekin,,1987,82520,64643,27681,,26225,,10737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thurrock,,1987,67594,48334,19837,,20527,,7970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tiverton,,1987,68218,54372,3400,20663,29875,,,,,,,,,,,,,434,,,,,,,,,,,,,,,,,,,,,
,Tonbridge and Malling,,1987,76797,59723,7803,,33990,,17561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,,
,Tooting,,1987,68116,48517,21457,,20016,,6423,,,,,,,,621,,,,,,,,,,,,,,,,,,,,,,,,
,Torbay,,1987,70435,53776,4538,20209,29029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Torfaen,,1987,59896,45263,26577,9027,8632,577,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,
,Tottenham,,1987,76092,50271,21921,8983,17780,,,,,,,,,,744,,205,,,,,,638,,,,,,,,,,,,,,,,
,Truro,,1987,72445,57865,5882,28368,23615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tunbridge Wells,,1987,76291,56655,6555,16989,33111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tweeddale, Ettrick and Lauderdale",,1987,37875,29236,3320,14599,8657,,,2660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Twickenham,,1987,64661,52696,4415,20204,27331,,,,,,,,,,746,,,,,,,,,,,,,,,,,,,,,,,,
,Tyne Bridge,,1987,58152,36694,23131,,7558,,6005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tynemouth,,1987,74407,58089,22530,10446,25113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ulster Mid,,1987,67256,52076,0,,,,,,,1846,1133,23004,13644,12449,,,,,,,,,,,,,,,,,,,,,,,,,
,Upminster,,1987,66613,50104,11069,,27946,,11089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Upper Bann,,1987,64540,42330,0,,,,,,26037,2487,2004,,8676,3126,,,,,,,,,,,,,,,,,,,,,,,,,
,Uxbridge,,1987,63157,48328,11323,,27292,,9164,,,,,,,,549,,,,,,,,,,,,,,,,,,,,,,,,
,Vale of Glamorgan,,1987,65310,51786,17978,,24229,946,8633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vauxhall,,1987,66538,42583,21364,,12345,,7764,,,,,,,,770,,,,,223,,117,,,,,,,,,,,,,,,,,
,Wakefield,,1987,69580,52579,24509,,21720,,6350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wallasey,,1987,67216,53666,22512,,22791,,8363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wallsend,,1987,76688,57542,32709,,13325,,11508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Walsall North,,1987,68331,50411,21458,9285,19668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Walsall South,,1987,66746,50383,22629,6241,21513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Walthamstow,,1987,48691,35232,12236,,13748,,8852,,,,,,,,,,,396,,,,,,,,,,,,,,,,,,,,,
,Wansbeck,,1987,62640,48861,28080,11291,9490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wansdyke,,1987,75239,61161,14231,15393,31537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wanstead and Woodford,,1987,57921,41948,6958,9289,25701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wantage,,1987,66499,51801,8055,,27951,,15795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warley East,,1987,55706,38667,19428,,13843,,5396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warley West,,1987,57526,40284,19825,6027,14432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warrington North,,1987,75627,56877,27422,,19409,,10046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warrington South,,1987,74267,59121,21200,13112,24809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warwick and Leamington,,1987,72763,55311,13019,,27530,,13548,,,,,,,,1214,,,,,,,,,,,,,,,,,,,,,,,,
,Warwickshire North,,1987,70687,56459,22624,,25453,,8382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Watford,,1987,73540,57290,16176,,27912,,13202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Waveney,,1987,81892,64196,19284,,31067,,13845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wealden,,1987,73057,54761,4563,,35154,,15044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wellingborough,,1987,70450,55053,14968,11047,29038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wells,,1987,67229,53478,4637,20083,28624,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,
,Welwyn Hatfield,,1987,73607,59525,15699,,27164,,16261,,,,,,,,,,,,,,401,,,,,,,,,,,,,,,,,,
,Wentworth,,1987,63886,46349,30205,,10113,,6031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West Bromwich East,,1987,58239,42609,18162,7268,17179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West Bromwich West,,1987,58944,39474,19925,,14672,,4877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westbury,,1987,84618,66397,7982,24159,34256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western Isles,,1987,23507,16497,7041,,1336,,3419,4701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westminster North,,1987,59263,42138,16631,,19941,,5116,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,
,Westmorland and Lonsdale,,1987,70237,52566,6968,15339,30259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weston-super-Mare,,1987,76307,57747,6584,,28547,,20549,,,,,,,,2067,,,,,,,,,,,,,,,,,,,,,,,,
,Wigan,,1987,72064,55180,33955,7732,13493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
