Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Liberal,Conservative,Plaid Cymru,Social Democratic,Scottish National,Ulster Unionist,Alliance,The Workers' (NI),Democratic Unionist,Social Democratic and Labour,Sinn Fein,Green,Moderate Labour,Workers' Revolutionary,Independent,Independent Ulster Democratic Unionist,Communist of Great Britain,Independent Conservative,Red Front,Independent Labour,Independent NFFG,Independent Liberal,Ulster Popular Unionist,Independent Ulster Unionist,Monster Raving Loony,Fellowship,Humanist,Rainbow Alliance,Independent Green,Socialist of Great Britain,Northern Ireland Ecology,Independent Democrat,Orkney and Shetland Movement,British National,Independent CS,Speaker
,Hertsmere,,1987,73367,55285,10835,13172,31278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hexham,,1987,56360,45113,8103,14304,22370,,,,,,,,,,336,,,,,,,,,,,,,,,,,,,,,,,,
,Heywood and Middleton,,1987,59487,43905,21900,,15052,,6953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,High Peak,,1987,69926,56303,16199,,25715,,14389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Holborn and St. Pancras,,1987,70589,45373,22966,7994,14113,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,
,Holland with Boston,,1987,65539,47368,9734,9817,27412,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,
,Honiton,,1987,77259,59035,4988,,34931,,18369,,,,,,,,,,,,,,,,,,,,,747,,,,,,,,,,,
,Hornchurch,,1987,62397,46993,13345,,24039,,9609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hornsey and Wood Green,,1987,80594,59097,23618,,25397,,8928,,,,,,,,1154,,,,,,,,,,,,,,,,,,,,,,,,
,Horsham,,1987,81574,62461,5435,,39775,,15868,,,,,,,,1383,,,,,,,,,,,,,,,,,,,,,,,,
,Houghton and Washington,,1987,77906,55507,32805,,12612,,10090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hove,,1987,72626,49218,9010,10734,28952,,,,,,,,,,,,,,,,,,,,,,,,,,,522,,,,,,,
,Huddersfield,,1987,66413,50171,23019,10773,15741,,,,,,,,,,638,,,,,,,,,,,,,,,,,,,,,,,,
,Hull East,,1987,68657,48457,27287,8572,12598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hull North,,1987,73288,51039,26123,,13954,,10962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hull West,,1987,55636,37593,19527,,11397,,6669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Huntingdon,,1987,86186,63773,8883,,40530,,13486,,,,,,,,874,,,,,,,,,,,,,,,,,,,,,,,,
,Hyndburn,,1987,60529,48712,19386,,21606,,7423,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,
,Ilford North,,1987,60433,43887,12020,,24110,,7757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ilford South,,1987,58572,42058,15779,5928,20351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Inverness, Nairn and Lochaber",,1987,66743,47315,11991,17422,10901,,,7001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ipswich,,1987,67712,52552,22454,,23328,,6596,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,
,Isle of Wight,,1987,98694,78534,4626,33733,40175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Islington North,,1987,58917,39188,19577,,9920,,8560,,,,,,,,1131,,,,,,,,,,,,,,,,,,,,,,,,
,Islington South and Finsbury,,1987,57910,41218,16511,,8482,,15706,,,,,,,,382,,,,,,,,,,,,,,,56,,,81,,,,,,
,Islwyn,,1987,50414,40533,28901,,5954,1932,3746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jarrow,,1987,62845,46737,29651,6230,10856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keighley,,1987,65831,52241,18297,10041,23903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kensington,,1987,48212,31191,10371,,14818,,5379,,,,,,,,528,,,30,,,,,,,,,,,,65,,,,,,,,,
,Kent Mid,,1987,72456,52090,9420,13951,28719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kettering,,1987,65965,51966,10229,,26532,,15205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kilmarnock and Loudoun,,1987,62648,48878,23713,,9586,,6698,8881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kincardine and Deeside,,1987,63587,47818,7624,17375,19438,,,3082,,,,,,,299,,,,,,,,,,,,,,,,,,,,,,,,
,Kingston upon Thames,,1987,54839,43061,5676,13012,24198,,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,
,Kingswood,,1987,73089,58589,21907,,26300,,10382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kirkcaldy,,1987,53439,40904,20281,,8711,,7118,4794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Knowsley North,,1987,52960,39270,27454,6356,4922,,,,,,,,,,,,,,,,,538,,,,,,,,,,,,,,,,,
,Knowsley South,,1987,65643,48670,31378,,10532,,6760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lagan Valley,,1987,64873,41588,0,,,,,,29101,5728,1215,,2888,2656,,,,,,,,,,,,,,,,,,,,,,,,,
,Lancashire West,,1987,76094,60619,25147,,26500,,8972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lancaster,,1987,57229,45307,14689,9003,21142,,,,,,,,,,473,,,,,,,,,,,,,,,,,,,,,,,,
,Langbaurgh,,1987,79193,62411,23959,12405,26047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds Central,,1987,59019,38243,21270,,9765,,6853,,,,,,,,,,,,,355,,,,,,,,,,,,,,,,,,,
,Leeds East,,1987,61178,42968,20932,10630,11406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds North East,,1987,64631,48681,12292,,22196,,13777,,,,,,,,416,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds North West,,1987,68227,51632,11210,17279,22480,,,,,,,,,,663,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds South and Morley,,1987,60726,43490,21551,,14840,,7099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds West,,1987,66344,48648,21032,16340,11276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leicester East,,1987,66372,52159,24074,,22150,,5935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leicester South,,1987,73236,56376,24901,7773,23024,,,,,,,,,,390,,96,,,,,,192,,,,,,,,,,,,,,,,
,Leicester West,,1987,67829,49819,22156,,20955,,6708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
