Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Conservative,Liberal Democrat,Plaid Cymru,Independent,Scottish National,Liberal,Natural Law,Green,Ulster Unionist,Democratic Unionist,Alliance,Social Democratic and Labour,Sinn.Fein,Raving Loony Green Giant,Anti-Federalist League,Independent Conservative,Independent Ulster Unionist,The Workers' (NI),New Alliance of Great Britain,Labour and Trade Union,British National,Communist of Great Britain,National Front,Revolutionary Communist,Monster Raving Loony,Plaid Cymru/Green,Independent Labour,Islamic of Britain,Independent Ind SD,Irish Freedom Movement,Social Democratic,Workers' Revolutionary,Ulster Popular Unionist,Independent Green,Independent Democrat,Independent Socialist,Scottish Militant Labour,International Communist,Twenty First Century,Fellowship,Independent Nationalist,Rainbow Alliance,Socialist of Great Britain,Communist League,Corrective,Independent Liberal Democrat,Social Democrat,Speaker
,Aberavon,,1992,51655,40069,26877,5567,4999,1919,707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberdeen North,,1992,59911,40061,18845,6836,4772,,,9608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberdeen South,,1992,58494,41089,14291,15808,4767,,,6223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aldershot,,1992,81755,64350,8552,36974,17786,,,,1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aldridge-Brownhills,,1992,63404,52341,17407,28431,6503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Altrincham and Sale,,1992,66248,53154,12275,29066,11601,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alyn and Deeside,,1992,60478,48432,25206,17355,4687,551,200,,,,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amber Valley,,1992,70156,59418,26706,27418,5294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Angus East,,1992,63170,47398,5994,18052,3897,,,19006,,,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antrim East,,1992,62864,39251,0,3359,,,,,,250,,16966,9544,9132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antrim North,,1992,69114,45501,0,2263,,,,,,,,8216,23152,3442,6512,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antrim South,,1992,67192,42239,0,,,,,,,,,29956,,5224,5397,1220,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argyll and Bute,,1992,47921,36491,4946,10117,12739,,,8689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arundel,,1992,79299,61064,8321,35405,15542,,,,1103,,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ashfield,,1992,72528,58340,32018,19031,7291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ashford,,1992,71768,56841,11365,31031,13672,,,,,,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ashton-under-Lyne,,1992,58702,43366,24550,13615,4005,,,,907,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aylesbury,,1992,79090,63598,8517,36500,17640,,,,,239,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ayr,,1992,65534,54407,22087,22172,4067,,,5949,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banbury,,1992,71847,58562,15495,32215,10602,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Banff and Buchan,,1992,64472,46191,3803,17846,2588,,,21954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barking,,1992,50480,35313,18224,11956,5133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barnsley Central,,1992,55374,39056,27048,7687,4321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barnsley East,,1992,53956,39314,30346,5569,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barnsley West and Penistone,,1992,63391,48006,27965,13461,5610,,,,,,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barrow and Furness,,1992,67835,55647,26568,22990,6089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basildon,,1992,67442,53801,22679,24159,6963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basingstoke,,1992,82962,68677,16323,37521,14119,,,,,,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bassetlaw,,1992,68583,54465,29061,19064,6340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bath,,1992,63838,52571,4102,21950,25718,,79,,172,,433,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Batley and Spen,,1992,76387,60858,26221,27629,6380,,,,,,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Battersea,,1992,68207,52281,21550,26390,3659,,,,,98,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beaconsfield,,1992,66899,52879,7163,33817,10220,,166,,,196,,,,,,,,,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beckenham,,1992,59469,46285,11038,26323,8038,,,,643,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bedfordshire Mid,,1992,81950,69140,15092,40230,11957,,,,1582,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bedfordshire North,,1992,73789,59107,18302,29970,10014,,,,,178,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bedfordshire South West,,1992,80120,65639,16225,37498,10988,,,,,239,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belfast East,,1992,52869,35791,0,3314,,,,,,128,,,18437,10650,,679,,,,2256,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belfast North,,1992,55068,35914,0,2107,,,,,,208,,17240,,2246,7615,4693,,,,,419,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belfast South,,1992,52050,33584,0,3356,,,,,,212,,16336,,5054,6266,1123,,,,,362,,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belfast West,,1992,54644,39970,0,,,,,,,213,,4766,,,17415,16826,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Berkshire East,,1992,90414,73574,14458,43898,15218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Berwick-upon-Tweed,,1992,54937,43456,9933,14240,19283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bethnal Green and Stepney,,1992,55675,36443,20350,6507,8120,,,,,,,,,,,,,,,,,,,1310,156,,,,,,,,,,,,,,,,,,,,,,,,,,
,Beverley,,1992,81033,64714,12026,34503,17986,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bexhill and Battle,,1992,65829,52070,4883,31380,15023,,190,,,,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bexleyheath,,1992,57684,47403,11520,25606,10107,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Billericay,,1992,80287,66198,13880,37406,14912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birkenhead,,1992,62673,45733,29098,11485,4417,,,,,190,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Edgbaston,,1992,53058,37813,14222,18529,4419,,,,,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Erdington,,1992,52414,36761,18549,13814,4398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Hall Green,,1992,60103,46975,17984,21649,7342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Hodge Hill,,1992,57581,40832,21895,14827,3740,,,,,,,,,,,,,,,,,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Ladywood,,1992,56995,37559,24887,9604,3068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Northfield,,1992,70563,53667,24433,23803,5431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Perry Barr,,1992,72186,51685,27507,18917,5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Selly Oak,,1992,72195,55276,25430,23370,5679,,,,,178,535,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Sparkbrook,,1992,51682,34521,22116,8544,3028,,,,,,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Yardley,,1992,54755,42697,14884,14722,12899,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,
,Birminghan Small Heath,,1992,55233,34700,22675,8686,2515,,,,,,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bishop Auckland,,1992,72573,55538,27763,17676,10099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blaby,,1992,81791,68210,14151,39498,13780,,,,,260,,,,,,,,,,,,,,521,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blackburn,,1992,73337,54978,26633,20606,6332,,334,,,195,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blackpool North,,1992,58142,45051,18461,21501,4786,,,,,125,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,
,Blackpool South,,1992,56829,43939,18213,19880,5673,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blaenau Gwent,,1992,55643,43472,34333,4266,2774,,,,,,,,,,,,,,,,,,,,,,,,2099,,,,,,,,,,,,,,,,,,,,,,
,Blaydon,,1992,66044,51315,27028,13685,10602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blyth Valley,,1992,60975,49201,24542,7691,16498,,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bolsover,,1992,66551,52669,33978,13323,5368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bolton North East,,1992,58660,48255,21459,21644,4971,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bolton South East,,1992,65600,49549,26906,14215,5244,,,,,290,,,,,,,,,,,,,,,,,,,,2894,,,,,,,,,,,,,,,,,,,,,
,Bolton West,,1992,71345,59594,25373,26452,7529,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boothferry,,1992,80561,64385,17731,35266,11388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bootle,,1992,69308,50225,37464,8022,3301,,,,1174,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bosworth,,1992,80260,67501,17524,36618,12643,,,,,,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bournemouth East,,1992,75131,54688,7541,30820,15998,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bournemouth West,,1992,74729,56592,9423,29820,17117,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bow and Poplar,,1992,56685,37323,18487,6876,10083,,,,,158,612,,,,,,,,,,,,,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bradford North,,1992,66711,48963,23420,15756,9133,,,,,,,,,,,,,,,,,,,,,,,350,,,304,,,,,,,,,,,,,,,,,,,,
,Bradford South,,1992,69930,52867,25185,20283,7243,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,,,,,,,,,
,Bradford West,,1992,70017,48946,26046,16544,5150,,,,,,735,,,,,,,,,,,,,,,,,,,,471,,,,,,,,,,,,,,,,,,,,
,Braintree,,1992,78880,65794,16921,34415,13603,,,,,,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brecon and Radnor,,1992,51564,44269,11634,15977,15847,418,,,,,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brent East,,1992,53436,36696,19387,13416,3249,,,,,,548,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brent North,,1992,58923,41582,13314,23445,4149,,356,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brent South,,1992,56054,35922,20662,10957,3658,,,,,166,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brentford and Isleworth,,1992,72193,54028,22666,24752,5683,,,,,,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brentwood and Ongar,,1992,65884,55780,6080,32145,17000,,,,,,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bridgend,,1992,58518,47088,24143,16817,4827,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bridgwater,,1992,71575,56910,12365,26610,16894,,183,,,112,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bridlington,,1992,84950,66113,15263,33604,17246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brigg and Cleethorpes,,1992,83510,64331,22494,31673,9374,,,,,,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brighton Kemptown,,1992,57649,43893,18073,21129,4461,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brighton Pavilion,,1992,57618,44257,16955,20630,5606,,,,,103,963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bristol East,,1992,62659,50317,22418,19726,7903,,,,,,,,,,,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,
,Bristol North West,,1992,72760,59890,25309,25354,8498,,,,,,,,,,,,,,,,,,,,,,,,,,,729,,,,,,,,,,,,,,,,,,,
,Bristol South,,1992,64403,50123,25164,16245,7822,,,,,136,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bristol West,,1992,70945,52490,12992,22169,16098,,87,,,104,906,,,,,,,42,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,
,Bromsgrove,,1992,71085,58662,18007,31709,8090,,,,,,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Broxbourne,,1992,72127,57660,12124,36094,9244,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Broxtowe,,1992,73124,60989,21205,31096,8395,,,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buckingham,,1992,56064,47216,7662,29496,9705,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burnley,,1992,69128,51291,27184,15693,8414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burton,,1992,75293,62069,24849,30845,6375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bury North,,1992,69531,58941,24502,29266,5010,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bury South,,1992,65793,54018,24085,24873,4832,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bury St. Edmunds,,1992,79462,62685,14767,33554,13814,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caernarfon,,1992,45348,36317,5641,6963,2101,21439,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caerphilly,,1992,64555,49822,31713,9041,4247,4821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caithness and Sutherland,,1992,30677,22231,3483,4667,10032,,,4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calder Valley,,1992,74418,61092,22875,27753,9842,,,,,,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cambridge,,1992,69011,50513,20039,19459,10037,,,,,83,720,,,,,,,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,
,Cambridgeshire North East,,1992,79991,63454,8746,34288,19195,,,,998,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cambridgeshire South East,,1992,78601,63331,12688,36693,12883,,,,,231,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cambridgeshire South West,,1992,84419,68467,9378,38902,19263,,,,,225,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cannock and Burntwood,,1992,72522,61140,28139,26633,5899,,,,,,,,,,,,,,,,,,,,,,,469,,,,,,,,,,,,,,,,,,,,,,,
,Canterbury,,1992,75180,58735,8936,29827,19022,,,,,203,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cardiff Central,,1992,57780,42916,18014,14549,9170,748,,,,105,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cardiff North,,1992,56757,47735,18578,21547,6487,916,,,,86,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cardiff South and Penarth,,1992,61490,47500,26383,15958,3707,776,,,,,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cardiff West,,1992,58936,45684,24306,15015,5002,1177,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carlisle,,1992,55140,43780,20479,17371,5740,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carmarthen,,1992,68920,56971,20879,12782,5353,17957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Carrick, Cumnock and Doon Valley",,1992,55332,42613,25182,8516,2005,,,6910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carshalton and Wallington,,1992,65209,52756,9333,26243,16300,,,,,,614,,,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Castle Point,,1992,66229,53279,12799,29629,10208,,,,,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ceredigion and Pembroke North,,1992,66166,51202,9637,12718,12827,16020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cheadle,,1992,66131,55840,6442,32504,16726,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chelmsford,,1992,83440,70605,10010,39043,20783,,,,,,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chelsea,,1992,42372,26827,4682,17471,4101,,,,,,485,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cheltenham,,1992,79806,64107,4077,28683,30351,,665,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chertsey and Walton,,1992,70675,56745,10793,34164,11344,,,,,,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chesham and Amersham,,1992,69898,57265,5931,36273,14053,,,,,255,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chester, City of",,1992,63319,53134,22310,23411,6867,,,,,98,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chesterfield,,1992,71685,55981,26461,9473,20047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chichester,,1992,82126,63874,7192,37906,17019,,,,643,238,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chingford,,1992,55466,43445,10792,25730,5705,,41,,602,,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chipping Barnet,,1992,57150,44909,11638,25589,7247,,213,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chislehurst,,1992,53783,42430,9485,24761,6683,,,,849,,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chorley,,1992,78514,65038,26469,30715,7452,,,,,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Christchurch,,1992,71469,57654,6997,36627,13612,,175,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cirencester and Tewkesbury,,1992,88413,72456,7262,40258,24200,,287,,,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City of London and Westminster South,,1992,54830,34712,7569,20938,5392,,,,,101,458,,,,,,,,,,,,,,,,,147,,,,,107,,,,,,,,,,,,,,,,,,
,Clackmannan,,1992,48362,38360,18829,6638,,,,10326,,,,,,,,,,,,,,,,,,,,,,,,,,2567,,,,,,,,,,,,,,,,,
,Clwyd North West,,1992,67352,52971,18438,24488,7999,1888,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clwyd South West,,1992,60607,49407,21490,16549,6027,4835,,,,155,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clydebank and Milngavie,,1992,47337,36827,19642,6650,3216,,,7207,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clydesdale,,1992,61914,48032,21418,11231,3957,,,11084,,,,,,,,,,,,,,,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colchester North,,1992,86479,68414,13870,35213,18721,,,,,238,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colchester South and Maldon,,1992,86406,68461,14158,37548,15727,,,,,,1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colne Valley,,1992,72029,59056,17579,24804,15953,,73,,,44,443,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,
,Congleton,,1992,70475,59532,11927,29163,18043,,,,,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conwy,,1992,53668,42247,10883,14250,13255,3108,,,,114,,,,,,,,,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Copeland,,1992,54911,45873,22328,19889,3508,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corby,,1992,68334,56640,24861,25203,5792,,,,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cornwall North,,1992,76333,62640,4103,27775,29696,,276,,678,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cornwall South East,,1992,73028,59988,5536,30565,22861,,,,644,155,,,,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coventry North East,,1992,64788,47430,24896,13220,5306,,,,,,,,,,,,,,,,,,,,,,,,,4008,,,,,,,,,,,,,,,,,,,,,
,Coventry North West,,1992,50671,39336,20349,13917,5070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coventry South East,,1992,48797,36535,11902,10591,3318,,,,,,,,,,,,,,,,,,,,,173,,,,10551,,,,,,,,,,,,,,,,,,,,,
,Coventry South West,,1992,63475,50873,21789,23225,4666,,,,989,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crawley,,1992,78268,61967,22439,30204,8558,,,,,,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crewe and Nantwich,,1992,75001,61401,28065,25370,7315,,,,,,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crosby,,1992,82538,68053,17461,32267,16562,,,,1052,152,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Croydon Central,,1992,55947,40028,12518,22168,5342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Croydon North East,,1992,64874,46383,16362,23835,6186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Croydon North West,,1992,57821,40507,19153,17626,3728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Croydon South,,1992,64895,50244,6444,31993,11568,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cumbernauld and Kilsyth,,1992,46515,36756,19855,4143,2118,,,10640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cunninghame North,,1992,54856,42866,17564,14625,2864,,,7813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cunninghame South,,1992,49025,37191,19687,6070,2299,,,9007,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cynon Valley,,1992,49696,37997,26254,4890,2667,4186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dagenham,,1992,59656,42148,22029,15295,4824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Darlington,,1992,66094,55255,26556,23758,4586,,,,,,,,,,,,,,,,,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dartford,,1992,72373,60161,20880,31194,7584,,262,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daventry,,1992,71830,59436,14460,34734,9820,,,,,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davyhulme,,1992,62667,50468,19790,24216,5797,,,,,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delyn,,1992,66593,55541,24979,22940,6208,1414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Denton and Reddish,,1992,68463,52561,29021,16937,4953,,,,1296,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
