Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Conservative,Liberal Democrat,Plaid Cymru,Independent,Scottish National,Liberal,Natural Law,Green,Ulster Unionist,Democratic Unionist,Alliance,Social Democratic and Labour,Sinn.Fein,Raving Loony Green Giant,Anti-Federalist League,Independent Conservative,Independent Ulster Unionist,The Workers' (NI),New Alliance of Great Britain,Labour and Trade Union,British National,Communist of Great Britain,National Front,Revolutionary Communist,Monster Raving Loony,Plaid Cymru/Green,Independent Labour,Islamic of Britain,Independent Ind SD,Irish Freedom Movement,Social Democratic,Workers' Revolutionary,Ulster Popular Unionist,Independent Green,Independent Democrat,Independent Socialist,Scottish Militant Labour,International Communist,Twenty First Century,Fellowship,Independent Nationalist,Rainbow Alliance,Socialist of Great Britain,Communist League,Corrective,Independent Liberal Democrat,Social Democrat,Speaker
,Hornchurch,,1992,60484,48288,16652,25817,5366,,,,,,,,,,,,,,,,,,,,,,,,,,,453,,,,,,,,,,,,,,,,,,,
,Hornsey and Wood Green,,1992,73668,55747,27020,21843,5547,,,,,197,1051,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,
,Horsham,,1992,84159,68398,6745,42210,17138,,332,,1281,,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Houghton and Washington,,1992,79326,56004,34733,13925,7346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hove,,1992,67566,50089,12257,24525,9709,,,,,126,814,,,,,,,,2658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Huddersfield,,1992,67574,48894,23832,16574,7777,,,,,135,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hull East,,1992,69078,47842,30096,11373,6050,,,,,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hull North,,1992,71395,47612,26619,11235,9504,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hull West,,1992,56136,36868,21139,10554,4867,,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Huntingdon,,1992,92914,73554,12432,48662,9386,,107,,1045,26,846,,,,,,,,231,,,,,,,,,728,,,,,,,,,,,,,,,,,,,,,,,
,Hyndburn,,1992,58560,49160,23042,21082,4886,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ilford North,,1992,58695,45735,15627,24678,5430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ilford South,,1992,55857,42829,19418,19016,4126,,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Inverness, Nairn and Lochaber",,1992,69151,50903,12800,11517,13258,,,12562,,,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
