Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Alliance,British National,Christian Democratic,Communist of Britain,Conservative,Democratic Unionist,Fellowship,Green,Humanist,Independent,Labour,Liberal,Liberal Democrat,Loyal Conservative,Mebyon Kernow,Monster Raving Loony,National Democratic Resistance,National Front,Natural Law,People's Labour,Plaid Cymru,Progressive Unionist,Rainbow Dream Ticket,Referendum,Scottish National,Scottish Socialist Alliance,Sinn.Fein,Social Democratic and Labour,Socialist,Socialist Labour,The Speaker,Ulster Unionist,United Kingdom Independence,United Kingdom Unionist,Workers',Workers' Revolutionary
,Islington South and Finsbury,,1997,55468,35316,,,,,4587,,,,,171,22079,,7516,,,,,,121,,,,,741,,,,,,,,,,,,
,Islwyn,,1997,50540,36404,,,,,2864,,,,,,26995,,3064,,,,,,,,2272,,,1209,,,,,,,,,,,,
,Jarrow,,1997,63828,43942,,,,,6564,,,,,2538,28497,,4865,,,,,,,,,,,1034,,,,,444,,,,,,,
,Keighley,,1997,67231,51480,,,,,18907,,,,,,26039,,5064,,,,,,,,,,,1470,,,,,,,,,,,,
,Kensington and Chelsea,,1997,67786,37088,,,,,19887,,,,,218,10368,,5668,,,,,,122,,,,65,,,,,,,,,,540,,,
,Kettering,,1997,75153,56957,,,,,24461,,,,,,24650,,6098,,,,,,197,,,,,1551,,,,,,,,,,,,
,Kilmarnock and Loudoun,,1997,61376,47409,,,,,5125,,,,,,23621,,1891,,,,,,123,,,,,284,16365,,,,,,,,,,,
,Kingston and Surbiton,,1997,73879,55665,,,,,20355,,,,,,12811,,20411,,,,,,100,,,,100,1470,,,,,,,,,418,,,
,Kingswood,,1997,77026,59887,,290,,,17928,,,,,115,32181,,7672,,,,,,238,,,,,1463,,,,,,,,,,,,
,Kirkcaldy,,1997,52186,34973,,,,,4779,,,,,,18730,,3031,,,,,,,,,,,413,8020,,,,,,,,,,,
,Knowsley North and Sefton East,,1997,70918,49703,,,,,8600,,,,,,34747,,5499,,,,,,,,,,,,,,,,,857,,,,,,
,Knowsley South,,1997,70532,47590,,,,,5987,,,,,,36695,,3954,,,,,,,,,,,954,,,,,,,,,,,,
,Lagan Valley,,1997,71225,44310,7635,,,,1212,6005,,,,,0,,,,,,,,149,,,,,,,,1110,3436,,,,24560,,,203,
,Lancashire West,,1997,73175,54729,,,,,15903,,,,,392,33022,,3938,,,,,,449,,,,,1025,,,,,,,,,,,,
